match_id,match_time,bo,team1_id,team1,team2_id,team2,event_id,event_name,event_logo,event_start_time,event_end_time,score1,score2,status
csgo_mc_2393379,2026-04-21 21:45:00,3,hltv_team_13714,Donstu,csgo_tm_9735,Lilmix,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,1
csgo_mc_2393380,2026-04-21 21:45:00,3,hltv_team_13568,eLITenergy,csgo_tm_6089,TLR,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,1
csgo_mc_2393187,2026-04-21 22:00:00,3,hltv_team_12818,FT,hltv_team_12609,Lavked,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
csgo_mc_2393303,2026-04-21 23:00:00,3,hltv_team_13314,KOLESIE,hltv_team_12474,Alliance,csgo_tt_9132,Tipsport 征服布拉格 2026,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7bheo4conkpudhr3rs0.png,2026-04-12 00:00:00,2026-04-29 23:59:59,0,0,0
csgo_mc_2393305,2026-04-22 01:30:00,3,csgo_tm_4991,FNC,hltv_team_13741,Qual4,csgo_tt_9132,Tipsport 征服布拉格 2026,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7bheo4conkpudhr3rs0.png,2026-04-12 00:00:00,2026-04-29 23:59:59,0,0,0
csgo_mc_2393188,2026-04-22 16:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
cg_mc_manual_2027,2026-04-22 18:00:00,1,cg_tm_sf5e_dict_135542,jzxsports,cg_tm_manual_237,Kz5,cg_tt_20260420121525kkrn4,5E青藤联赛S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7iqg3sconkpudhr4bq0.png,2026-04-20 00:00:00,2026-04-26 23:59:59,0,0,0
cg_mc_manual_2028,2026-04-22 18:00:00,1,cg_tm_sf5e_dict_81691,SNG,cg_tm_manual_238,西游电竞,cg_tt_20260420121525kkrn4,5E青藤联赛S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7iqg3sconkpudhr4bq0.png,2026-04-20 00:00:00,2026-04-26 23:59:59,0,0,0
cg_mc_manual_2032,2026-04-22 18:00:00,1,cg_tm_sf5e_dict_136588,IF G,cg_tm_sf5e_dict_120915,DQZS.T,cg_tt_20260420121525kkrn4,5E青藤联赛S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7iqg3sconkpudhr4bq0.png,2026-04-20 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393381,2026-04-22 19:00:00,3,,TBD,,TBD,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393382,2026-04-22 19:00:00,3,,TBD,,TBD,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393189,2026-04-22 19:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
cg_mc_manual_2029,2026-04-22 19:00:00,1,cg_tm_sf5e_dict_136608,K9,cg_tm_manual_237,Kz5,cg_tt_20260420121525kkrn4,5E青藤联赛S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7iqg3sconkpudhr4bq0.png,2026-04-20 00:00:00,2026-04-26 23:59:59,0,0,0
