match_id,map_index,map_name,team1_score,team2_score,winner_side,winner_team_id,winner_team_name,fetched_at
csgo_mc_2393240,1,Dust2,13,5,t1,csgo_tm_7020,Spirit,2026-04-22 00:38:36
csgo_mc_2393240,2,Mirage,13,8,t1,csgo_tm_7020,Spirit,2026-04-22 00:38:36
csgo_mc_2392766,1,Nuke,9,13,t2,hltv_team_13576,TNT,2026-04-22 00:55:10
csgo_mc_2392766,2,Dust2,9,13,t2,hltv_team_13576,TNT,2026-04-22 00:55:10
csgo_mc_2393187,1,Nuke,10,13,t2,hltv_team_12609,Lavked,2026-04-22 01:04:16
csgo_mc_2393187,2,Anubis,13,10,t1,hltv_team_12818,FT,2026-04-22 01:04:16
csgo_mc_2393187,3,Dust2,13,7,t1,hltv_team_12818,FT,2026-04-22 01:04:16
cg_mc_manual_1955,1,Dust2,13,5,t1,hltv_team_12774,FlyQuest,2026-04-22 14:58:29
cg_mc_manual_1956,1,Inferno,13,3,t1,hltv_team_12510,The Huns,2026-04-22 14:58:27
cg_mc_manual_1957,1,Inferno,13,4,t1,hltv_team_13602,MOS,2026-04-22 14:58:26
cg_mc_manual_2018,1,Mirage,5,13,t2,cg_tm_manual_238,西游电竞,2026-04-22 14:57:27
cg_mc_manual_2019,1,Ancient,13,6,t1,cg_tm_sf5e_dict_136608,K9Esport,2026-04-22 14:57:27
cg_mc_manual_2020,1,Ancient,9,13,t2,cg_tm_manual_237,Kz5 Academy,2026-04-22 14:57:27
cg_mc_manual_2021,1,Anubis,4,13,t2,cg_tm_sf5e_dict_136608,K9,2026-04-22 14:57:27
cg_mc_manual_2022,1,Anubis,11,13,t2,cg_tm_sf5e_dict_81691,SNG.ESPORTS,2026-04-22 14:57:27
cg_mc_manual_2023,1,Mirage,13,6,t1,cg_tm_sf5e_dict_132234,7-YOUNG,2026-04-22 14:57:27
cg_mc_manual_2024,1,Ancient,13,7,t1,cg_tm_manual_237,Kz5 Academy,2026-04-22 14:57:27
cg_mc_manual_2025,1,Ancient,7,13,t2,cg_tm_manual_238,西游电竞,2026-04-22 14:57:27
cg_mc_manual_2026,1,Ancient,6,13,t2,cg_tm_sf5e_dict_120915,DQZS.T,2026-04-22 14:57:27
csgo_mc_2389184,1,Mirage,13,5,t1,hltv_team_13619,BET-M,2026-04-22 14:58:31
csgo_mc_2389184,2,Anubis,4,13,t2,hltv_team_13518,Acend,2026-04-22 14:58:31
csgo_mc_2389184,3,Dust2,5,13,t2,hltv_team_13518,Acend,2026-04-22 14:58:31
csgo_mc_2389185,1,Ancient,8,13,t2,csgo_tm_7969,Nemiga,2026-04-22 14:58:31
csgo_mc_2389185,2,Mirage,4,13,t2,csgo_tm_7969,Nemiga,2026-04-22 14:58:31
csgo_mc_2389186,1,Ancient,8,13,t2,csgo_tm_7969,Nemiga,2026-04-22 14:58:30
csgo_mc_2389186,2,Mirage,11,13,t2,csgo_tm_7969,Nemiga,2026-04-22 14:58:30
csgo_mc_2390811,1,Ancient,13,6,t1,csgo_tm_11283,Falcons,2026-04-22 14:58:16
csgo_mc_2390811,2,Dust2,13,8,t1,csgo_tm_11283,Falcons,2026-04-22 14:58:16
csgo_mc_2390812,1,Mirage,13,9,t1,csgo_tm_4608,NAVI,2026-04-22 14:58:16
csgo_mc_2390812,2,Ancient,17,19,t2,csgo_tm_11241,B8,2026-04-22 14:58:16
csgo_mc_2390812,3,Dust2,13,7,t1,csgo_tm_4608,NAVI,2026-04-22 14:58:16
csgo_mc_2390813,1,Nuke,13,11,t1,csgo_tm_6667,FaZe,2026-04-22 14:58:15
csgo_mc_2390813,2,Inferno,8,13,t2,csgo_tm_11861,Aurora,2026-04-22 14:58:15
csgo_mc_2390813,3,Dust2,10,13,t2,csgo_tm_11861,Aurora,2026-04-22 14:58:15
csgo_mc_2390814,1,Mirage,13,8,t1,csgo_tm_8297,FURIA,2026-04-22 14:58:15
csgo_mc_2390814,2,Overpass,13,11,t1,csgo_tm_8297,FURIA,2026-04-22 14:58:15
csgo_mc_2390815,1,Ancient,13,11,t1,hltv_team_12467,PARIVISION,2026-04-22 14:58:14
csgo_mc_2390815,2,Mirage,6,13,t2,csgo_tm_4411,NIP,2026-04-22 14:58:14
csgo_mc_2390815,3,Dust2,13,8,t1,hltv_team_12467,PARIVISION,2026-04-22 14:58:14
csgo_mc_2390816,1,Mirage,13,8,t1,csgo_tm_7020,Spirit,2026-04-22 14:58:14
csgo_mc_2390816,2,Ancient,13,11,t1,csgo_tm_7020,Spirit,2026-04-22 14:58:14
csgo_mc_2390817,1,Nuke,11,13,t2,csgo_tm_6248,Mongolz,2026-04-22 14:58:14
csgo_mc_2390817,2,Inferno,3,13,t2,csgo_tm_6248,Mongolz,2026-04-22 14:58:14
csgo_mc_2390818,1,Overpass,13,3,t1,csgo_tm_9565,Vitality,2026-04-22 14:58:13
csgo_mc_2390818,2,Nuke,13,5,t1,csgo_tm_9565,Vitality,2026-04-22 14:58:13
csgo_mc_2390959,1,Dust2,13,16,t2,hltv_team_13617,ex-RUBY,2026-04-22 14:58:32
csgo_mc_2390959,2,Ancient,11,13,t2,hltv_team_13617,ex-RUBY,2026-04-22 14:58:32
csgo_mc_2390960,1,Ancient,13,10,t1,hltv_team_12087,Lazer Cats,2026-04-22 14:58:31
csgo_mc_2390960,2,Dust2,12,16,t2,hltv_team_13178,Novaq,2026-04-22 14:58:31
csgo_mc_2390960,3,Mirage,6,13,t2,hltv_team_13178,Novaq,2026-04-22 14:58:31
csgo_mc_2390961,1,Dust2,15,19,t2,hltv_team_13479,Omega,2026-04-22 14:58:31
csgo_mc_2390961,2,Anubis,10,13,t2,hltv_team_13479,Omega,2026-04-22 14:58:31
csgo_mc_2390962,1,Dust2,13,9,t1,hltv_team_13573,ex-Zero Tenacity,2026-04-22 14:58:31
csgo_mc_2390962,2,Nuke,6,13,t2,csgo_tm_7865,HAVU,2026-04-22 14:58:31
csgo_mc_2390962,3,Overpass,13,4,t1,hltv_team_13573,ex-Zero Tenacity,2026-04-22 14:58:31
csgo_mc_2390963,1,Dust2,10,13,t2,csgo_tm_11446,Leo,2026-04-22 14:58:30
csgo_mc_2390963,2,Nuke,13,11,t1,hltv_team_13173,Phantom,2026-04-22 14:58:30
csgo_mc_2390963,3,Ancient,16,19,t2,csgo_tm_11446,Leo,2026-04-22 14:58:30
csgo_mc_2390964,1,Nuke,13,7,t1,csgo_tm_11641,Metizport,2026-04-22 14:58:30
csgo_mc_2390964,2,Dust2,6,13,t2,hltv_team_13510,QWENTRY,2026-04-22 14:58:30
csgo_mc_2390964,3,Overpass,11,13,t2,hltv_team_13510,QWENTRY,2026-04-22 14:58:30
csgo_mc_2390965,1,Dust2,16,12,t1,csgo_tm_11176,MOUZ.N,2026-04-22 14:58:29
csgo_mc_2390965,2,Anubis,13,16,t2,hltv_team_13518,Acend,2026-04-22 14:58:29
csgo_mc_2390965,3,Ancient,13,8,t1,csgo_tm_11176,MOUZ.N,2026-04-22 14:58:29
csgo_mc_2390966,1,Ancient,13,10,t1,hltv_team_13173,Phantom,2026-04-22 14:58:26
csgo_mc_2390966,2,Mirage,13,3,t1,hltv_team_13173,Phantom,2026-04-22 14:58:26
csgo_mc_2390967,1,Dust2,10,13,t2,hltv_team_13573,ex-Zero Tenacity,2026-04-22 14:58:25
csgo_mc_2390967,2,Mirage,13,11,t1,hltv_team_13518,Acend,2026-04-22 14:58:25
csgo_mc_2390967,3,Inferno,7,13,t2,hltv_team_13573,ex-Zero Tenacity,2026-04-22 14:58:25
csgo_mc_2390968,1,Ancient,9,13,t2,hltv_team_13178,Novaq,2026-04-22 14:58:25
csgo_mc_2390968,2,Inferno,13,9,t1,csgo_tm_11641,Metizport,2026-04-22 14:58:25
csgo_mc_2390968,3,Overpass,13,9,t1,csgo_tm_11641,Metizport,2026-04-22 14:58:25
csgo_mc_2390969,1,Ancient,10,13,t2,hltv_team_13510,QWENTRY,2026-04-22 14:58:25
csgo_mc_2390969,2,Dust2,4,13,t2,hltv_team_13510,QWENTRY,2026-04-22 14:58:25
csgo_mc_2390970,1,Nuke,15,19,t2,csgo_tm_11176,MOUZ.N,2026-04-22 14:58:24
csgo_mc_2390970,2,Ancient,13,7,t1,hltv_team_13027,Nuclear TigeRES,2026-04-22 14:58:24
csgo_mc_2390970,3,Mirage,8,13,t2,csgo_tm_11176,MOUZ.N,2026-04-22 14:58:24
csgo_mc_2390971,1,Nuke,7,13,t2,csgo_tm_11446,Leo,2026-04-22 14:58:24
csgo_mc_2390971,2,Dust2,13,6,t1,hltv_team_13314,KOLESIE,2026-04-22 14:58:24
csgo_mc_2390971,3,Ancient,11,13,t2,csgo_tm_11446,Leo,2026-04-22 14:58:24
csgo_mc_2390972,1,Nuke,13,9,t1,hltv_team_12895,K27,2026-04-22 14:58:24
csgo_mc_2390972,2,Dust2,11,13,t2,csgo_tm_11641,Metizport,2026-04-22 14:58:24
csgo_mc_2390972,3,Ancient,13,5,t1,hltv_team_12895,K27,2026-04-22 14:58:24
csgo_mc_2390973,1,Ancient,13,4,t1,hltv_team_12380,CYBERSHOKE,2026-04-22 14:58:23
csgo_mc_2390973,2,Dust2,28,26,t1,hltv_team_12380,CYBERSHOKE,2026-04-22 14:58:23
csgo_mc_2390974,1,Dust2,13,8,t1,csgo_tm_11581,HOTU,2026-04-22 14:58:23
csgo_mc_2390974,2,Mirage,9,13,t2,hltv_team_13573,ex-Zero Tenacity,2026-04-22 14:58:23
csgo_mc_2390974,3,Overpass,13,9,t1,csgo_tm_11581,HOTU,2026-04-22 14:58:23
csgo_mc_2390975,1,Dust2,7,13,t2,hltv_team_12818,FT,2026-04-22 14:58:23
csgo_mc_2390975,2,Inferno,7,13,t2,hltv_team_12818,FT,2026-04-22 14:58:23
csgo_mc_2390976,1,Dust2,13,9,t1,hltv_team_12604,Johnny Speeds,2026-04-22 14:58:23
csgo_mc_2390976,2,Overpass,10,13,t2,hltv_team_13617,ex-RUBY,2026-04-22 14:58:23
csgo_mc_2390976,3,Mirage,8,13,t2,hltv_team_13617,ex-RUBY,2026-04-22 14:58:23
csgo_mc_2390977,1,Mirage,6,13,t1,hltv_team_12380,CYBERSHOKE,2026-04-22 14:58:23
csgo_mc_2390977,2,Ancient,16,13,t1,hltv_team_12380,CYBERSHOKE,2026-04-22 14:58:23
csgo_mc_2390977,3,Nuke,13,9,t2,csgo_tm_11176,MOUZ.N,2026-04-22 14:58:23
csgo_mc_2390978,1,Mirage,13,6,t1,hltv_team_12895,K27,2026-04-22 14:58:22
csgo_mc_2390978,2,Overpass,5,13,t1,hltv_team_12895,K27,2026-04-22 14:58:22
csgo_mc_2390978,3,Dust2,10,13,t2,hltv_team_13617,ex-RUBY,2026-04-22 14:58:22
csgo_mc_2390979,1,Overpass,6,13,t2,csgo_tm_11446,Leo,2026-04-22 14:58:22
csgo_mc_2390979,2,Anubis,13,6,t1,hltv_team_13510,QWENTRY,2026-04-22 14:58:22
csgo_mc_2390979,3,Dust2,10,13,t2,csgo_tm_11446,Leo,2026-04-22 14:58:22
