event_id,event_name,event_logo,grade,grade_label,special_grade_label,status,start_time,end_time,bonus,city_name,mode,cover
csgo_tt_6967,传奇联赛 2022,https://oss.5eplay.com/sport/csgo/event/6967.png,4,B级赛事,,past,2023-01-04 19:00:00,2023-01-08 19:00:00,"$100,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_manual_9,PWA Premier League S3,https://oss.5eplay.com/sport/csgo/tournament/cfcd229ll806h1bg170g.png,4,B级赛事,,past,2023-01-05 00:00:00,2023-01-16 23:59:59,"¥241,000",亚洲 (线上),1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6945,CCT 南欧系列2,https://oss.5eplay.com/sport/csgo/event/6945.png,4,B级赛事,,past,2023-01-14 19:00:00,2023-01-26 19:00:00,"$50,000",Europe-Europe (Online),0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6960,ESL Pro League S17 入围赛 欧洲,https://oss.5eplay.com/sport/csgo/event/6960.png,9,资格赛A级,资格赛A级,past,2023-01-16 19:00:00,2023-01-20 19:00:00,前三晋级EPL S17,欧洲线上,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6961,ESL Pro League S17 入围赛 北美,https://oss.5eplay.com/sport/csgo/event/6961.png,6,资格赛B级,,past,2023-01-16 19:00:00,2023-01-20 19:00:00,前二晋级EPL S17,北美线上,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6962,ESL Pro League S17 入围赛 南美,https://oss.5eplay.com/sport/csgo/event/6962.png,6,资格赛B级,,past,2023-01-16 19:00:00,2023-01-20 19:00:00,前二晋级EPL S17,南美线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6963,ESL Pro League S17 入围赛 亚洲,https://oss.5eplay.com/sport/csgo/event/6963.png,6,资格赛B级,,past,2023-01-16 19:00:00,2023-01-20 19:00:00,前二晋级EPL S17,亚洲线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6964,ESL Pro League S17入围赛 大洋洲,https://oss.5eplay.com/sport/csgo/event/6964.png,6,资格赛B级,,past,2023-01-16 19:00:00,2022-01-20 19:00:00,前二晋级EPL S17,大洋洲线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7000,Elisa冬季邀请赛 2023 竞争者组,https://oss.5eplay.com/sport/csgo/tournament/cfdi209ll806h1bg1930.png,4,B级赛事,,past,2023-01-16 19:00:00,2023-02-02 19:00:00,晋级,Europe-Europe (Online),0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6957,ESL 挑战者联赛 S44 欧洲区,https://oss.5eplay.com/sport/csgo/event/6957.png,4,B级赛事,,past,2023-01-17 19:00:00,2023-03-26 19:00:00,"$50,000",欧洲,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6958,ESL 挑战者联赛 S44 北美区,https://oss.5eplay.com/sport/csgo/event/6958.png,4,B级赛事,,past,2023-01-17 19:00:00,2023-03-26 19:00:00,"$50,000",北美,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6970,BLAST Premier 春季小组赛 2023,https://oss.5eplay.com/sport/csgo/event/6970.png,2,S级赛事,S级赛事,past,2023-01-19 19:00:00,2023-01-29 19:00:00,"$177,500",哥本哈根，丹麦,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7011,CCT 北欧系列赛 3 封闭预选,https://oss.5eplay.com/sport/csgo/event/7011.png,4,B级赛事,,past,2023-01-19 19:00:00,2023-01-23 19:00:00,4 spots in North EU Series 3,Europe-Europe (Online),0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6998,OMEN WGR 挑战赛 2023,https://oss.5eplay.com/sport/csgo/event/6998.png,4,B级赛事,,past,2023-01-22 19:00:00,2023-02-11 19:00:00,"$16,005",欧洲，线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7014,CCT 南美系列赛4,https://oss.5eplay.com/sport/csgo/event/7014.png,4,B级赛事,,past,2023-01-22 19:00:00,2023-02-04 19:00:00,"$25,000",南美,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
