player_id,map_name,map_kd,map_rating,use_num
csgo_pl_16885,Mirage,1.25,1.21,283
csgo_pl_16885,Ancient,1.23,1.17,167
csgo_pl_16885,Nuke,1.16,1.13,165
csgo_pl_16885,Anubis,1.23,1.19,132
csgo_pl_16885,Dust2,1.24,1.24,101
csgo_pl_16885,Vertigo,1.26,1.20,86
csgo_pl_16885,Overpass,1.09,1.05,74
csgo_pl_16885,Inferno,1.12,1.06,61
csgo_pl_16885,Train,1.12,1.12,36
csgo_pl_16885,Cache,0.00,0.00,0
csgo_pl_16885,Cobblestone,0.00,0.00,0
csgo_pl_16885,Season,0.00,0.00,0
csgo_pl_16885,Tuscan,0.00,0.00,0
csgo_pl_21023,Inferno,0.84,1.01,29
csgo_pl_21023,Mirage,0.92,1.00,28
csgo_pl_21023,Vertigo,0.81,0.93,14
csgo_pl_21023,Dust2,0.92,1.06,12
csgo_pl_21023,Overpass,0.83,0.98,12
csgo_pl_21023,Nuke,0.71,0.86,11
csgo_pl_21023,Ancient,0.95,1.07,8
csgo_pl_21023,Anubis,1.17,1.24,4
csgo_pl_21023,Cache,0.00,0.00,0
csgo_pl_21023,Cobblestone,0.00,0.00,0
csgo_pl_21023,Season,0.00,0.00,0
csgo_pl_21023,Train,0.00,0.00,0
csgo_pl_21023,Tuscan,0.00,0.00,0
csgo_pl_22733,Nuke,1.07,1.11,54
csgo_pl_22733,Mirage,0.95,1.01,49
csgo_pl_22733,Ancient,0.96,1.07,48
csgo_pl_22733,Anubis,0.91,1.03,40
csgo_pl_22733,Dust2,1.03,1.09,15
csgo_pl_22733,Inferno,0.77,0.83,12
csgo_pl_22733,Overpass,0.77,0.82,10
csgo_pl_22733,Train,0.85,0.91,8
csgo_pl_22733,Vertigo,0.71,0.84,6
csgo_pl_22733,Cache,0.00,0.00,0
csgo_pl_22733,Cobblestone,0.00,0.00,0
csgo_pl_22733,Season,0.00,0.00,0
csgo_pl_22733,Tuscan,0.00,0.00,0
csgo_pl_21930,Nuke,0.97,1.01,47
csgo_pl_21930,Ancient,0.93,0.95,39
csgo_pl_21930,Mirage,0.81,0.90,37
csgo_pl_21930,Anubis,0.82,0.92,32
csgo_pl_21930,Dust2,0.80,0.88,16
csgo_pl_21930,Train,0.83,0.82,8
csgo_pl_21930,Vertigo,0.82,0.93,6
csgo_pl_21930,Inferno,0.74,0.77,6
csgo_pl_21930,Overpass,0.81,0.81,4
csgo_pl_21930,Cache,0.00,0.00,0
csgo_pl_21930,Cobblestone,0.00,0.00,0
csgo_pl_21930,Season,0.00,0.00,0
csgo_pl_21930,Tuscan,0.00,0.00,0
csgo_pl_24149,Nuke,0.90,0.98,47
csgo_pl_24149,Mirage,0.95,1.04,35
csgo_pl_24149,Anubis,0.87,0.99,34
csgo_pl_24149,Ancient,0.86,0.96,32
csgo_pl_24149,Dust2,0.78,0.87,14
csgo_pl_24149,Train,0.90,0.97,8
csgo_pl_24149,Vertigo,1.03,1.17,4
csgo_pl_24149,Inferno,0.68,0.70,2
csgo_pl_24149,Cache,0.00,0.00,0
csgo_pl_24149,Cobblestone,0.00,0.00,0
csgo_pl_24149,Overpass,0.00,0.00,0
csgo_pl_24149,Season,0.00,0.00,0
csgo_pl_24149,Tuscan,0.00,0.00,0
csgo_pl_24121,Anubis,0.62,0.68,2
csgo_pl_24121,Mirage,0.60,0.63,1
csgo_pl_24121,Ancient,0.59,0.61,1
csgo_pl_24121,Nuke,0.47,0.60,1
csgo_pl_24121,Dust2,0.27,0.44,1
csgo_pl_24121,Overpass,0.31,0.38,1
csgo_pl_24121,Cache,0.00,0.00,0
csgo_pl_24121,Cobblestone,0.00,0.00,0
csgo_pl_24121,Inferno,0.00,0.00,0
csgo_pl_24121,Season,0.00,0.00,0
csgo_pl_24121,Train,0.00,0.00,0
csgo_pl_24121,Tuscan,0.00,0.00,0
csgo_pl_24121,Vertigo,0.00,0.00,0
csgo_pl_20029,Mirage,1.18,1.10,80
csgo_pl_20029,Nuke,1.11,1.08,76
csgo_pl_20029,Ancient,1.07,1.02,71
csgo_pl_20029,Anubis,1.15,1.07,49
csgo_pl_20029,Overpass,1.22,1.14,44
csgo_pl_20029,Dust2,1.05,1.04,40
csgo_pl_20029,Inferno,1.08,1.00,27
csgo_pl_20029,Vertigo,0.94,0.92,22
csgo_pl_20029,Train,1.03,1.00,7
csgo_pl_20029,Cache,0.00,0.00,0
csgo_pl_20029,Cobblestone,0.00,0.00,0
csgo_pl_20029,Season,0.00,0.00,0
csgo_pl_20029,Tuscan,0.00,0.00,0
csgo_pl_11213,Mirage,1.05,1.06,135
csgo_pl_11213,Nuke,0.94,0.98,130
csgo_pl_11213,Inferno,0.96,1.00,128
csgo_pl_11213,Dust2,1.04,1.04,93
csgo_pl_11213,Train,1.04,1.06,78
csgo_pl_11213,Overpass,1.08,1.09,54
csgo_pl_11213,Ancient,0.99,1.03,45
csgo_pl_11213,Cache,1.05,1.05,43
csgo_pl_11213,Anubis,1.07,1.12,34
csgo_pl_11213,Vertigo,1.18,1.19,22
csgo_pl_11213,Cobblestone,1.10,1.13,21
csgo_pl_11213,Season,0.00,0.00,0
csgo_pl_11213,Tuscan,0.00,0.00,0
csgo_pl_19817,Ancient,1.05,1.10,144
csgo_pl_19817,Mirage,1.00,1.05,132
csgo_pl_19817,Nuke,0.97,1.02,113
csgo_pl_19817,Vertigo,1.08,1.14,109
csgo_pl_19817,Inferno,0.97,1.02,105
csgo_pl_19817,Anubis,1.06,1.11,92
csgo_pl_19817,Dust2,1.02,1.10,78
csgo_pl_19817,Overpass,0.92,0.97,41
csgo_pl_19817,Train,0.95,1.02,12
csgo_pl_19817,Cache,0.00,0.00,0
csgo_pl_19817,Cobblestone,0.00,0.00,0
csgo_pl_19817,Season,0.00,0.00,0
csgo_pl_19817,Tuscan,0.00,0.00,0
csgo_pl_19173,Mirage,0.90,1.02,43
csgo_pl_19173,Inferno,0.89,1.01,42
csgo_pl_19173,Anubis,0.96,1.05,29
csgo_pl_19173,Ancient,0.84,0.99,20
csgo_pl_19173,Dust2,0.83,0.95,20
csgo_pl_19173,Vertigo,1.00,1.10,18
csgo_pl_19173,Overpass,0.96,0.99,14
csgo_pl_19173,Nuke,0.82,0.89,12
csgo_pl_19173,Train,0.90,1.01,8
csgo_pl_19173,Cache,0.00,0.00,0
csgo_pl_19173,Cobblestone,0.00,0.00,0
csgo_pl_19173,Season,0.00,0.00,0
csgo_pl_19173,Tuscan,0.00,0.00,0
csgo_pl_1206,Mirage,0.88,0.90,457
csgo_pl_1206,Inferno,0.86,0.89,288
csgo_pl_1206,Nuke,0.84,0.86,240
csgo_pl_1206,Dust2,0.85,0.87,176
csgo_pl_1206,Ancient,0.80,0.89,157
csgo_pl_1206,Vertigo,0.81,0.91,122
csgo_pl_1206,Cache,0.98,0.98,113
csgo_pl_1206,Overpass,0.79,0.82,98
csgo_pl_1206,Train,0.82,0.90,95
csgo_pl_1206,Cobblestone,0.95,0.96,89
csgo_pl_1206,Anubis,0.75,0.88,77
csgo_pl_1206,Season,0.00,0.00,0
csgo_pl_1206,Tuscan,0.00,0.00,0
csgo_pl_13980,Inferno,1.15,1.13,319
csgo_pl_13980,Mirage,1.12,1.15,262
csgo_pl_13980,Nuke,1.10,1.13,207
csgo_pl_13980,Overpass,1.07,1.11,198
csgo_pl_13980,Dust2,1.08,1.11,160
csgo_pl_13980,Vertigo,1.08,1.12,114
csgo_pl_13980,Ancient,1.07,1.08,60
csgo_pl_13980,Anubis,1.07,1.14,41
csgo_pl_13980,Cache,1.23,1.25,39
csgo_pl_13980,Cobblestone,1.14,1.17,32
csgo_pl_13980,Train,0.92,1.04,31
csgo_pl_13980,Season,0.00,0.00,0
csgo_pl_13980,Tuscan,0.00,0.00,0
csgo_pl_19821,Mirage,1.25,1.17,81
csgo_pl_19821,Inferno,1.16,1.07,67
csgo_pl_19821,Nuke,1.24,1.13,57
csgo_pl_19821,Overpass,1.22,1.11,41
csgo_pl_19821,Vertigo,1.22,1.12,38
csgo_pl_19821,Dust2,1.31,1.21,27
csgo_pl_19821,Anubis,1.02,1.03,21
csgo_pl_19821,Train,1.54,1.28,8
csgo_pl_19821,Ancient,0.71,0.79,3
csgo_pl_19821,Cache,0.00,0.00,0
csgo_pl_19821,Cobblestone,0.00,0.00,0
csgo_pl_19821,Season,0.00,0.00,0
csgo_pl_19821,Tuscan,0.00,0.00,0
csgo_pl_15374,Dust2,0.89,0.95,46
csgo_pl_15374,Mirage,0.90,0.95,32
csgo_pl_15374,Train,0.96,1.00,30
csgo_pl_15374,Nuke,0.82,0.90,30
csgo_pl_15374,Overpass,0.95,1.06,20
csgo_pl_15374,Vertigo,0.93,1.01,15
csgo_pl_15374,Inferno,0.69,0.78,10
csgo_pl_15374,Cobblestone,0.76,0.83,1
csgo_pl_15374,Ancient,0.38,0.39,1
csgo_pl_15374,Anubis,0.00,0.00,0
csgo_pl_15374,Cache,0.00,0.00,0
csgo_pl_15374,Season,0.00,0.00,0
csgo_pl_15374,Tuscan,0.00,0.00,0
csgo_pl_24706,Ancient,1.38,1.24,4
csgo_pl_24706,Anubis,0.84,0.93,4
csgo_pl_24706,Inferno,1.00,1.04,3
csgo_pl_24706,Mirage,1.08,1.30,1
csgo_pl_24706,Cache,0.00,0.00,0
csgo_pl_24706,Cobblestone,0.00,0.00,0
csgo_pl_24706,Dust2,0.00,0.00,0
csgo_pl_24706,Nuke,0.00,0.00,0
csgo_pl_24706,Overpass,0.00,0.00,0
csgo_pl_24706,Season,0.00,0.00,0
csgo_pl_24706,Train,0.00,0.00,0
csgo_pl_24706,Tuscan,0.00,0.00,0
csgo_pl_24706,Vertigo,0.00,0.00,0
csgo_pl_9616,Nuke,1.09,1.09,184
csgo_pl_9616,Dust2,1.08,1.02,183
csgo_pl_9616,Mirage,1.05,1.04,170
csgo_pl_9616,Inferno,1.01,1.05,141
csgo_pl_9616,Train,1.03,1.04,139
csgo_pl_9616,Overpass,1.16,1.20,127
csgo_pl_9616,Vertigo,0.98,1.03,92
csgo_pl_9616,Cache,1.12,1.05,67
csgo_pl_9616,Cobblestone,1.11,1.13,29
csgo_pl_9616,Ancient,0.94,0.96,28
csgo_pl_9616,Anubis,0.84,0.95,16
csgo_pl_9616,Season,0.00,0.00,0
csgo_pl_9616,Tuscan,0.00,0.00,0
csgo_pl_23228,Mirage,0.82,1.07,3
csgo_pl_23228,Inferno,1.33,1.21,1
csgo_pl_23228,Anubis,1.00,1.05,1
csgo_pl_23228,Nuke,0.75,0.85,1
csgo_pl_23228,Ancient,0.00,0.00,0
csgo_pl_23228,Cache,0.00,0.00,0
csgo_pl_23228,Cobblestone,0.00,0.00,0
csgo_pl_23228,Dust2,0.00,0.00,0
csgo_pl_23228,Overpass,0.00,0.00,0
csgo_pl_23228,Season,0.00,0.00,0
csgo_pl_23228,Train,0.00,0.00,0
csgo_pl_23228,Tuscan,0.00,0.00,0
csgo_pl_23228,Vertigo,0.00,0.00,0
csgo_pl_16381,Inferno,1.05,1.06,2
csgo_pl_16381,Cache,0.76,0.96,2
csgo_pl_16381,Cobblestone,1.29,1.32,1
csgo_pl_16381,Overpass,1.05,0.99,1
csgo_pl_16381,Mirage,0.81,0.97,1
csgo_pl_16381,Ancient,0.00,0.00,0
csgo_pl_16381,Anubis,0.00,0.00,0
csgo_pl_16381,Dust2,0.00,0.00,0
csgo_pl_16381,Nuke,0.00,0.00,0
csgo_pl_16381,Season,0.00,0.00,0
csgo_pl_16381,Train,0.00,0.00,0
csgo_pl_16381,Tuscan,0.00,0.00,0
csgo_pl_16381,Vertigo,0.00,0.00,0
csgo_pl_22224,Dust2,1.71,1.59,1
