player_id,milestone_id,achieve_time,created_at,honor_text,detail,dimension,dimension_text,values,match_id,tt_id,tt_name,team_id,team_name
csgo_pl_16885,3337,2024-11-13,2024-11-13 14:04:29,强势带飞,单局最高rating达到2.2,year,2024年度,2.2,csgo_mc_2376970,csgo_tt_7862,完美世界 上海Major 亚洲RMR,hltv_team_12937,DRILLAS
csgo_pl_16885,3306,2024-11-11,2024-11-11 21:34:23,单刀突袭,本局用刀击杀敌人1次,bout,,1,csgo_mc_2376927,csgo_tt_7862,完美世界 上海Major 亚洲RMR,hltv_team_12937,DRILLAS
csgo_pl_16885,793,2024-05-08,2024-05-10 12:06:45,破点高手,累计首杀数达到40,tt,本 赛 事,40,csgo_mc_2371541,csgo_tt_7440,ESL Pro League S19,csgo_tm_11811,Monte
csgo_pl_18706,3329,2024-11-13,2024-11-13 13:04:34,勇冠三军,累计击杀达到2001,year,2024年度,2001,csgo_mc_2376982,csgo_tt_7863,完美世界 上海Major 美洲RMR,hltv_team_12534,BOSS
csgo_pl_18706,3336,2024-11-13,2024-11-13 13:04:34,这把手冷了,单局最低rating达到0.24,tt,本 赛 事,0.24,csgo_mc_2376982,csgo_tt_7863,完美世界 上海Major 美洲RMR,hltv_team_12534,BOSS
csgo_pl_18706,3316,2024-11-12,2024-11-12 15:34:41,锁头大师,累计爆头击杀次数达到1004,year,2024年度,1004,csgo_mc_2376935,csgo_tt_7863,完美世界 上海Major 美洲RMR,hltv_team_12534,BOSS
csgo_pl_19817,4668,2025-04-17,2025-04-18 00:04:19,勇冠三军,累计击杀达到1002,year,2025年度,1002,csgo_mc_2381676,csgo_tt_8062,YaLLa Compass 卡塔尔 2025,csgo_tm_7187,Nexus
csgo_pl_17293,698,2024-05-04,2024-05-10 12:06:33,垫枪大师,累计助攻达到303,year,2024年度,303,csgo_mc_2371535,csgo_tt_7440,ESL Pro League S19,hltv_team_12524,PERA
csgo_pl_17293,131,2024-02-21,2024-05-10 12:02:21,这把手冷了,单局最低rating达到0.3,year,2024年度,0.3,csgo_mc_2369939,csgo_tt_7577,PGL CS2 Major 哥本哈根 2024 欧洲 RMR B,hltv_team_12524,PERA
csgo_pl_7322,7724,2026-02-04,2026-02-04 04:48:11,最佳拍档,单局最高助攻达到21,year,2026年度,21,csgo_mc_2389658,csgo_tt_8240,IEM 克拉科夫 2026,csgo_tm_9565,Vitality
csgo_pl_7322,7403,2025-11-09,2025-11-09 20:06:18,垫枪大师,累计助攻达到150,tt,本 赛 事,150,csgo_mc_2387414,csgo_tt_8041,IEM 成都 2025,csgo_tm_9565,Vitality
csgo_pl_7322,6170,2025-11-08,2025-06-21 14:34:59,旗开得胜,累计三杀次数达到100,year,2025年度,100,csgo_mc_2387412,csgo_tt_8041,IEM 成都 2025,csgo_tm_9565,Vitality
csgo_pl_11893,8074,2026-04-13,2026-04-13 23:03:18,单刀突袭,本局用刀击杀敌人1次,bout,,1,csgo_mc_2393081,csgo_tt_8242,IEM 里约 2026,csgo_tm_9565,Vitality
csgo_pl_11893,8072,2026-04-13,2026-04-13 22:03:11,强势带飞,单局最高rating达到2.34,bout,,2.34,csgo_mc_2393081,csgo_tt_8242,IEM 里约 2026,csgo_tm_9565,Vitality
csgo_pl_11893,8073,2026-04-13,2026-04-13 23:03:17,霸气团灭,单局五杀1,bout,,1,csgo_mc_2393081,csgo_tt_8242,IEM 里约 2026,csgo_tm_9565,Vitality
csgo_pl_16693,7943,2026-03-28,2026-03-28 23:03:22,强势带飞,单局最高rating达到2.2,year,2026年度,2.2,csgo_mc_2391773,csgo_tt_8248,BLAST 鹿特丹公开赛 2026 ,csgo_tm_9565,Vitality
csgo_pl_16693,7703,2026-02-01,2026-02-01 06:23:14,霸气团灭,单局五杀1,bout,,1,csgo_mc_2389641,csgo_tt_8240,IEM 克拉科夫 2026,csgo_tm_9565,Vitality
csgo_pl_16693,7642,2026-01-15,2026-01-15 05:38:53,强势带飞,单局最高rating达到2.01,year,2026年度,2.01,csgo_mc_2389263,csgo_tt_8876,BLAST 赏金赛 2026 S1,csgo_tm_9565,Vitality
csgo_pl_18462,7738,2026-02-09,2026-02-09 03:26:17,强势带飞,单局最高rating达到2.26,year,2026年度,2.26,csgo_mc_2389666,csgo_tt_8240,IEM 克拉科夫 2026,csgo_tm_9565,Vitality
csgo_pl_18462,7723,2026-02-04,2026-02-04 04:48:11,最佳拍档,单局最高助攻达到21,year,2026年度,21,csgo_mc_2389658,csgo_tt_8240,IEM 克拉科夫 2026,csgo_tm_9565,Vitality
