player_id,aspect_ratio,color_mode,resolution,scaling_mode
csgo_pl_16885,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_21023,,,,
csgo_pl_25524,,,,
csgo_pl_22733,,,,
csgo_pl_21930,,,,
csgo_pl_24149,,,,
csgo_pl_24121,,,,
csgo_pl_20029,,,,
csgo_pl_11213,,,,
csgo_pl_19817,5:4,,1280x1024,Stretched
csgo_pl_19173,,,,
csgo_pl_1206,,,,
csgo_pl_13980,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_19821,,,,
csgo_pl_25214,,,,
csgo_pl_25495,,,,
csgo_pl_25741,,,,
csgo_pl_15374,,,,
csgo_pl_24706,,,,
csgo_pl_25507,,,,
csgo_pl_25536,,,,
csgo_pl_25806,,,,
csgo_pl_9616,4:3,Computer Monitor,1440x1080,Stretched
csgo_pl_23228,,,,
csgo_pl_25671,,,,
csgo_pl_25855,,,,
csgo_pl_16381,,,,
csgo_pl_25663,,,,
csgo_pl_25664,,,,
csgo_pl_22224,,,,
csgo_pl_17293,,,,
csgo_pl_19235,4:3,,1280x960,Stretched
csgo_pl_22929,,,,
csgo_pl_22471,,,,
csgo_pl_23685,,,,
csgo_pl_20194,5:4,,1280x1024,Stretched
csgo_pl_20275,,,,
csgo_pl_21001,,,,
csgo_pl_21809,,,,
csgo_pl_23402,4:3,,1280x960,Stretched
csgo_pl_17956,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_20304,16:9,Computer Monitor,1920x1080,Stretched
csgo_pl_16726,,Computer Monitor,1920x1080,
csgo_pl_21217,4:3,,1280x960,Stretched
csgo_pl_20584,,,,
csgo_pl_22203,,,,
csgo_pl_22674,,,,
csgo_pl_23553,,,,
csgo_pl_20761,4:3,Computer Monitor,1152x864,Stretched
csgo_pl_3972,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_429,16:10,Computer Monitor,1600x1024,Native
csgo_pl_22613,4:3,,1280x960,Stretched
csgo_pl_20394,,,,
csgo_pl_21667,16:9,,1920x1080,Native
csgo_pl_20357,4:3,,1280x960,Stretched
csgo_pl_18506,4:3,Computer Monitor,1024x768,Stretched
csgo_pl_21816,4:3,,1280x960,Stretched
csgo_pl_19926,16:9,Computer Monitor,1600x900,
csgo_pl_19015,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_22106,,,,
csgo_pl_17145,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_22860,,,,
csgo_pl_7443,4:3,,1280x960,Stretched
csgo_pl_22760,,,,
csgo_pl_24083,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_8738,16:10,Computer Monitor,1680x1050,Stretched
csgo_pl_21037,5:4,Computer Monitor,1280x1024,Stretched
csgo_pl_20987,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_23192,4:3,,1280x960,Stretched
csgo_pl_19310,4:3,Computer Monitor,1024x768,Stretched
csgo_pl_21288,,,,
csgo_pl_18141,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_20171,4:3,,1280x960,Stretched
csgo_pl_18714,,,,
csgo_pl_16816,5:4,Computer Monitor,1280x1024,Stretched
csgo_pl_19694,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_5794,16:9,Computer Monitor,1920x1080,Native
csgo_pl_22884,4:3,,1280x960,Stretched
csgo_pl_20425,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_922,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_23372,16:9,,1920x1080,Native
csgo_pl_3849,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_22914,,,,
csgo_pl_20879,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_21012,,,,
csgo_pl_21159,,,,
csgo_pl_24332,,,,
csgo_pl_20358,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_20625,4:3,Computer Monitor,1280x800,Stretched
csgo_pl_24203,,,,
csgo_pl_23459,,,,
csgo_pl_23295,4:3,,1152x864,Stretched
csgo_pl_21113,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_7687,16:10,Computer Monitor,1680x1050,Stretched
csgo_pl_16717,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_8711,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_20903,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_22570,,,,
csgo_pl_20185,,,,
csgo_pl_20607,,,,
csgo_pl_24863,4:3,,1280x960,Stretched
csgo_pl_19985,,,,
csgo_pl_24168,,,,
csgo_pl_24282,,,,
csgo_pl_23415,,,,
csgo_pl_19592,4:3,Computer Monitor,1280x960,Stretched
csgo_pl_7998,4:3,Computer Monitor,1280x960,Stretched
