player_id,dpi,e_dpi,hz,mouse_acceleration,mouse_name,raw_input,sensitivity,windows_sensitivity,zoom_sensitivity
csgo_pl_16885,400,812,1000,0,Logitech G Pro X Superlight Red,1,2.03,6,0.90
csgo_pl_21023,,,,,,,,,
csgo_pl_25524,,,,,,,,,
csgo_pl_22733,,,,,,,,,
csgo_pl_21930,,,,,,,,,
csgo_pl_24149,,,,,,,,,
csgo_pl_24121,,,,,,,,,
csgo_pl_20029,,,,,,,,,
csgo_pl_11213,,,,,,,,,
csgo_pl_19817,400,1156.00,1000,,Razer Viper V3 Pro Black,,2.89,6,1
csgo_pl_19173,,,,,,,,,
csgo_pl_1206,,,,,,,,,
csgo_pl_13980,800,968,1000,0,Pulsar Xlite V2 mini Wireless,1,1.21,6,0.80
csgo_pl_19821,,,,,,,,,
csgo_pl_25214,,,,,,,,,
csgo_pl_25495,,,,,,,,,
csgo_pl_25741,,,,,,,,,
csgo_pl_15374,,,,,,,,,
csgo_pl_24706,,,,,,,,,
csgo_pl_25507,,,,,,,,,
csgo_pl_25536,,,,,,,,,
csgo_pl_25806,,,,,,,,,
csgo_pl_9616,800,1240,1000,0,Logitech G Pro X Superlight Black,1,1.55,6,0.818933027098955
csgo_pl_23228,,,,,,,,,
csgo_pl_25671,,,,,,,,,
csgo_pl_25855,,,,,,,,,
csgo_pl_16381,,,,,,,,,
csgo_pl_25663,,,,,,,,,
csgo_pl_25664,,,,,,,,,
csgo_pl_22224,,,,,,,,,
csgo_pl_17293,,,,,,,,,
csgo_pl_19235,800,928,1000,,Logitech G Pro X Superlight White,,1.16,6,1
csgo_pl_22929,,,,,,,,,
csgo_pl_22471,,,,,,,,,
csgo_pl_23685,,,,,,,,,
csgo_pl_20194,400,760,1000,0,Logitech G Pro X Superlight White,1,1.9,6,1
csgo_pl_20275,400,720,1000,0,Logitech G Pro X Superlight White,1,1.8,6,0.95
csgo_pl_21001,,,,,Logitech G Pro X Superlight Red,,,,
csgo_pl_21809,,,,,Logitech G Pro X Superlight White,,,,
csgo_pl_23402,400,560.00,1000,,Logitech G Pro X Superlight 2 Magenta,,1.4,6,1
csgo_pl_17956,800,720,1000,0,ZOWIE EC2-CW,1,0.90,6,1
csgo_pl_20304,800,960,1000,0,Endgame Gear XM2w,1,1.2,6,1
csgo_pl_16726,800,1400,1000,0,Logitech G Pro X Superlight Black,1,1.75,6,0.818933027098955175
csgo_pl_21217,400,800,2000,,Logitech G Pro X Superlight 2 Black,,2,6,1
csgo_pl_20584,,,,,,,,,
csgo_pl_22203,,,,,,,,,
csgo_pl_22674,,,,,,,,,
csgo_pl_23553,,,,,,,,,
csgo_pl_20761,800,1200,1000,0,Logitech G Pro X Superlight Black,1,1.5,8,1
csgo_pl_3972,400,868,1000,0,Logitech G Pro X Superlight White,1,2.17,6,1
csgo_pl_429,400,560,1000,1.05,Razer Deathadder V3 Pro Black,1,1.4,4,1
csgo_pl_22613,800,560,2000,,Logitech G Pro X Superlight 2 Black,,0.7,6,1
csgo_pl_20394,,,,,,,,,
csgo_pl_21667,400,880,2000,,Logitech G Pro X Superlight 2 Black,,2.2,6,1
csgo_pl_20357,400,680,1000,,Logitech G Pro X Superlight Magenta,,1.7,6,1
csgo_pl_18506,800,1200,1000,0,Logitech G Pro X Superlight Magenta,1,1.5,6,1.16
csgo_pl_21816,800,1000.00,1000,,Logitech G Pro X Superlight Red,,1.25,6,1
csgo_pl_19926,800,800,1000,0,Logitech G Pro X Superlight Black,1,1.00,6,1.00
csgo_pl_19015,800,1040,1000,0,Logitech G403 HERO,1,1.3,6,1.00
csgo_pl_22106,,,,,,,,,
csgo_pl_17145,400,880,1000,0,Logitech G Pro X Superlight Black,1,2.20,6,1.00
csgo_pl_22860,800,880,1000,,Razer Viper V2 Pro Black,,1.1,6,0.818933027098955175
csgo_pl_7443,400,800,1000,0,VAXEE ZYGEN NP-01,1,2.00,6,1.00
csgo_pl_22760,,,,,,,,,
csgo_pl_24083,800,560,1000,0,Xtrfy M8 Black,1,0.7,6,1
csgo_pl_8738,1600,1184,1000,0,Logitech G Pro X Superlight Black,1,0.74,6,0.8
csgo_pl_21037,800,880,1000,0,Logitech G Pro X Superlight White,1,1.1,6,1
csgo_pl_20987,400,760,1000,0,Logitech G Pro X Superlight Black,1,1.9,6,1
csgo_pl_23192,400,1236.00,4000,,Logitech G Pro X Superlight 2 Magenta,,3.09,6,1
csgo_pl_19310,400,680,1000,0,ZOWIE EC2,1,1.70,6,1
csgo_pl_21288,,,,,,,,,
csgo_pl_18141,400,740,1000,0,ZOWIE EC2-CW,1,1.85,6,1.00
csgo_pl_20171,400,800.00,1000,,Logitech G Pro X Superlight Magenta,,2,6,1
csgo_pl_18714,,,,,,,,,
csgo_pl_16816,800,960,1000,0,ZOWIE EC3-CW,1,1.2,6,1
csgo_pl_19694,800,960,1000,0,Logitech G Pro X Superlight Magenta,1,1.20,6,1.00
csgo_pl_5794,400,512,1000,0,Logitech G Pro X Superlight Black,1,1.28,6,1.10
csgo_pl_22884,1000,920.00,8000,,Logitech G Pro X Superlight 2 Black,,0.92,6,0.9
csgo_pl_20425,400,852,1000,0,Razer Viper V2 Pro White,1,2.13,6,1.03
csgo_pl_922,400,780,1000,0,Logitech G Pro X Superlight White,1,1.95,6,1.00
csgo_pl_23372,400,732,1000,,Logitech G Pro X Superlight Black,,1.83,6,1
csgo_pl_3849,400,760,1000,0,Logitech G Pro X Superlight Black,1,1.9,6,1
csgo_pl_22914,,,,,,,,,
csgo_pl_20879,800,544,1000,0,ZOWIE EC1,1,0.68,6,0.8
csgo_pl_21012,,,,,,,,,
csgo_pl_21159,,,,,,,,,
csgo_pl_24332,,,,,,,,,
csgo_pl_20358,800,560,1000,0,Logitech G Pro X Superlight White,1,0.7,6,1
csgo_pl_20625,800,800,1000,0,Pulsar Xlite V2 Wireless,1,1,6,1
csgo_pl_24203,,,,,,,,,
csgo_pl_23459,,,,,,,,,
csgo_pl_23295,400,568,1000,,Logitech G Pro X Superlight Black,,1.42,6,1
csgo_pl_21113,400,800,1000,0,Logitech G Pro X Superlight Black,1,2,6,1
csgo_pl_7687,400,720,500,1.05,VAXEE XE Wireless Blue,1,1.8,6,1.04
csgo_pl_16717,700,1050,1000,0,SteelSeries Rival 3,1,1.5,6,0.7
csgo_pl_8711,400,1000,1000,0,Glorious Model D,1,2.50,6,1.00
csgo_pl_20903,400,1120,1000,0,Logitech G Pro X Superlight Black,1,2.8,5,1
csgo_pl_22570,,,,,,,,,
csgo_pl_20185,,,,,,,,,
csgo_pl_20607,,,,,Logitech G Pro X Superlight Black,,,6,
csgo_pl_24863,800,416,1000,,Logitech G Pro X Superlight 2 Black,,0.52,6,1.1
csgo_pl_19985,,,,,,,,,
csgo_pl_24168,,,,,,,,,
csgo_pl_24282,,,,,,,,,
csgo_pl_23415,,,,,,,,,
csgo_pl_19592,400,920,1000,0,Logitech G Pro X Superlight White,1,2.3,6,1
csgo_pl_7998,400,1236,1000,0,Logitech G Pro X Superlight White,1,3.09,6,1
csgo_pl_8918,400,880,1000,0,ZOWIE EC2-CW,1,2.2,6,1.05
csgo_pl_23140,,,,,,,,,
csgo_pl_630,400,1352,4000,0,Razer Deathadder V3 Pro White,1,3.38,5,1.00
csgo_pl_22807,,,,,,,,,
csgo_pl_9482,400,1040,1000,0,Logitech G Pro X Superlight White,1,2.6,6,1.3
csgo_pl_17861,800,2000,1000,0,ZOWIE EC3-CW,1,2.5,6,1
csgo_pl_9219,400,800,1000,0,ZOWIE EC2-A,1,2.00,6,1.00
csgo_pl_8565,400,1520,1000,0,ZOWIE EC2 Tyloo,1,3.8,6,1.2
csgo_pl_7528,400,560,1000,0,VAXEE XE Wireless Orange,1,1.40,6,1.00
csgo_pl_17803,400,520,1000,0,Logitech G Pro X Superlight Black,1,1.3,6,1
csgo_pl_23046,,,,,,,,,
csgo_pl_23414,,,,,,,,,
csgo_pl_24914,,,,,,,,,
csgo_pl_16723,800,604,1000,,ZOWIE S2,,0.755,6,1
