player_id,metric,value,avg_value,lower_better,bad_start,bad_end,middle_start,middle_end,good_start,good_end
csgo_pl_16885,adr,80.4,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_16885,dpr,0.63,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_16885,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_16885,kast,72.0,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_16885,kpr,0.77,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_16885,rating,1.16,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_16885,swing,+1.38%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_21023,adr,68.6,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_21023,dpr,0.71,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_21023,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21023,kast,69.8,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_21023,kpr,0.60,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_21023,rating,0.96,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21023,swing,-1.37%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_22733,adr,74.5,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_22733,dpr,0.61,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_22733,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22733,kast,76.0,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_22733,kpr,0.71,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_22733,rating,1.20,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22733,swing,+1.45%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_21930,adr,67.9,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_21930,dpr,0.59,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_21930,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21930,kast,72.4,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
