player_id,map_total,map_win,map_loss,map_draw,map_mvp_count,map_win_rate,match_total,match_win,match_loss,match_draw,match_mvp_count,match_win_rate,assist_rate,ct_win_rate,hs,hs_rate,kd,kddiff,map_count,map_mvp,t_win_rate,total_assist,total_death,total_kills,adr_value,adr_avg,dpr_value,dpr_avg,kast_value,kast_avg,kpr_value,kpr_avg,rating_value,rating_avg,swing_value,swing_avg
csgo_pl_16885,92,45,47,0,19,48.9%,45,24,21,0,10,53.3%,0.22,51.7%,609,40.0%,1.23,281,92,19,49.1%,438,1243,1524,80.4,72.7,0.63,0.67,72.0,71.4,0.77,0.67,1.16,1.07,+1.38%,+-0.00%
csgo_pl_21023,92,45,47,0,2,48.9%,45,24,21,0,2,53.3%,0.28,51.7%,665,56.4%,0.84,-228,92,2,49.1%,552,1408,1180,68.6,72.7,0.71,0.67,69.8,71.4,0.60,0.67,0.96,1.07,-1.37%,+-0.00%
csgo_pl_22733,95,54,41,0,16,56.8%,44,25,19,0,10,56.8%,0.21,53.0%,836,58.7%,1.16,198,95,16,49.2%,413,1225,1423,74.5,72.7,0.61,0.67,76.0,71.4,0.71,0.67,1.20,1.07,+1.45%,+-0.00%
csgo_pl_21930,95,54,41,0,10,56.8%,44,25,19,0,4,56.8%,0.22,53.0%,429,32.5%,1.1,124,95,10,49.2%,445,1194,1318,67.9,72.7,0.59,0.67,72.4,71.4,0.66,0.67,1.09,1.07,+1.16%,+-0.00%
csgo_pl_24149,95,54,41,0,12,56.8%,44,25,19,0,7,56.8%,0.27,53.0%,769,52.7%,1.05,68,95,12,49.2%,542,1392,1460,80.3,72.7,0.69,0.67,72.7,71.4,0.73,0.67,1.14,1.07,+0.05%,+-0.00%
csgo_pl_24121,94,54,40,0,8,57.5%,44,25,19,0,0,56.8%,0.22,53.0%,689,55.4%,0.92,-113,94,8,49.3%,439,1357,1244,68.6,72.7,0.69,0.67,72.2,71.4,0.63,0.67,1.04,1.07,-0.01%,+-0.00%
csgo_pl_20029,37,12,25,0,2,32.4%,17,5,12,0,0,29.4%,0.16,46.0%,141,33.9%,0.83,-85,37,2,42.2%,121,501,416,56.1,72.7,0.67,0.67,64.7,71.4,0.55,0.67,0.85,1.07,-2.03%,+-0.00%
csgo_pl_11213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csgo_pl_19817,42,17,25,0,4,40.5%,21,8,13,0,1,38.1%,0.21,54.6%,404,63.7%,1.03,16,42,4,43.1%,187,618,634,77.7,72.7,0.70,0.67,69.2,71.4,0.72,0.67,1.14,1.07,+0.71%,+-0.00%
csgo_pl_19173,42,17,25,0,2,40.5%,21,8,13,0,2,38.1%,0.31,54.6%,246,47.6%,0.83,-108,42,2,43.1%,274,625,517,70.0,72.7,0.71,0.67,67.8,71.4,0.59,0.67,0.96,1.07,-1.19%,+-0.00%
