id,team_id,team_name,team_logo,region_name,rating,map_num,map_win_loss,map_win_rate,game_played,win_rate,avg_round,kd_rate,kd,kd_diff,avg_kill,avg_death,avg_assist,total_kill,total_death,total_assist,total_round,first_five_win_num,first_five_win_rate,first_ten_win_num,first_ten_win_rate,ct_win_round,ct_win_rate,t_win_round,t_win_rate,ct_first_win_round,ct_first_win_rate,t_first_win_round,t_first_win_rate,first_kill,first_kill_rate,first_death_num,first_death_rate,global_rank,valve_rank,valve_point,point,score,global_bonus,rank,rank_change,rank_diff,csv_index,crawl_time
,csgo_tm_hltv_team_12471,,,,1.61,1,1/0,100.0%,,,14.0,2.36,+38,,66.0,28.0,19.0,66,28,19,14,1,100.0%,1,100.0%,11,91.7%,2,100.0%,1,100.0%,1,100.0%,0,0.0%,0,0.0%,,,,,,,,,,1,1777963806
,cg_tm_sf5e_dict_89883,WATG,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cjpe0psconkqks63b30g.png,,1.57,1,1/0,100.0%,,,18.0,2.18,+45,,83.0,38.0,25.0,83,38,25,18,1,100.0%,1,100.0%,13,86.7%,3,100.0%,1,100.0%,1,100.0%,0,0.0%,0,0.0%,,,,,,,,,,2,1777963806
,hltv_team_13085,Team BYE,https://oss.5eplay.com/sport/csgo/team/null.png,,1.47,1,1/0,100.0%,1,100.0%,24.0,1.03,+3,,89.0,86.0,37.0,89,86,37,24,1,100.0%,1,100.0%,7,58.3%,8,66.7%,1,100.0%,1,100.0%,9,81.8%,5,50.0%,,,,,,,,,-,3,1777963806
,csgo_tm_10017,Rugratz,https://oss.5eplay.com/sport/csgo/team/hz/cec3u774nfq43340vn40.png,,1.46,1,1/0,100.0%,1,100.0%,21.0,1.78,+39,,89.0,50.0,23.0,89,50,23,21,1,100.0%,1,100.0%,12,80.0%,4,66.7%,1,100.0%,0,0.0%,0,0.0%,0,0.0%,,,,,,"$10,250",,,-,4,1777963806
,hltv_team_12518,MEGAZORD fe,https://oss.5eplay.com/sport/csgo/team/12518.png,,1.46,2,2/0,100.0%,,,16.5,1.50,+47,,70.5,47.0,23.0,141,94,46,33,2,100.0%,2,100.0%,12,70.6%,14,87.5%,1,50.0%,2,100.0%,0,0.0%,0,0.0%,,,,,,,,,,5,1777963806
,csgo_tm_5144,Ukraine,https://oss.5eplay.com/sport/csgo/team/hz/cec3pnv4nfq43340uqig.png,,1.40,2,2/0,100.0%,1,100.0%,22.5,1.72,+78,,93.0,54.0,19.5,186,108,39,45,1,50.0%,2,100.0%,17,56.7%,15,100.0%,0,0.0%,2,100.0%,24,88.9%,8,44.4%,,,,,,,,,-,6,1777963806
,hltv_team_13084,Team HAI,https://oss.5eplay.com/sport/csgo/team/null.png,,1.39,1,0/1,0.0%,1,0.0%,24.0,0.82,-17,,79.0,96.0,24.0,79,96,24,24,0,0.0%,0,0.0%,4,33.3%,5,41.7%,0,0.0%,0,0.0%,5,45.5%,1,10.0%,,,,,,,,,-,7,1777963806
,cg_tm_nami_dict_17018,SUPER EVIL GANG,,,1.36,1,1/0,100.0%,1,0.0%,19.0,1.31,+19,,81.0,62.0,27.0,81,62,27,19,1,100.0%,1,100.0%,8,66.7%,5,71.4%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,,,,,,,,,-,8,1777963806
,hltv_team_13039,BEZPRESSA,https://oss.5eplay.com/sport/csgo/team/null.png,,1.35,2,2/0,100.0%,1,100.0%,20.0,1.42,+48,,80.5,56.5,27.0,161,113,54,40,2,100.0%,2,100.0%,13,54.2%,13,81.3%,1,50.0%,2,100.0%,21,80.8%,5,35.7%,,,,,,,,,-,9,1777963806
,hltv_team_13822,Team mokrivskiy,https://oss.5eplay.com/sport/csgo/team/null.png,,1.34,2,2/0,100.0%,1,100.0%,19.0,1.26,+31,,74.0,58.5,27.0,148,117,54,38,1,50.0%,2,100.0%,17,81.0%,9,52.9%,1,50.0%,1,50.0%,16,76.2%,5,50.0%,,,,,,,,,-,10,1777963806
,hltv_team_13389,justWgirls,https://oss.5eplay.com/sport/csgo/team/null.png,,1.33,2,2/0,100.0%,1,100.0%,20.5,1.55,+58,,81.5,52.5,31.5,163,105,63,41,1,50.0%,2,100.0%,13,61.9%,13,65.0%,0,0.0%,2,100.0%,13,81.3%,3,30.0%,,,,,,,,,-,11,1777963806
,csgo_tm_11024,Stoichkovpeek,https://oss.5eplay.com/sport/csgo/team/null.png,,1.33,2,2/0,100.0%,1,100.0%,18.5,1.60,+59,,78.5,49.0,34.5,157,98,69,37,2,100.0%,2,100.0%,13,65.0%,13,76.5%,0,0.0%,2,100.0%,20,83.3%,6,46.2%,,,,,,,,,-,12,1777963806
,hltv_team_12573,Recon 6,https://oss.5eplay.com/sport/csgo/team/null.png,,1.31,2,1/1,50.0%,,,20.5,1.27,+36,,83.5,65.5,35.0,167,131,70,41,1,50.0%,2,100.0%,7,41.2%,17,70.8%,1,50.0%,1,50.0%,0,0.0%,0,0.0%,,,,,,,,,,13,1777963806
,hltv_team_13123,OL5,https://oss.5eplay.com/sport/csgo/team/null.png,,1.31,2,2/0,100.0%,2,100.0%,19.0,1.32,+36,,75.0,57.0,24.0,150,114,48,38,2,100.0%,2,100.0%,15,62.5%,11,78.6%,2,100.0%,1,50.0%,18,72.0%,7,50.0%,,,,,,,,,-,14,1777963806
,hltv_team_13496,Raid,https://oss.5eplay.com/sport/csgo/team/null.png,,1.30,4,4/0,100.0%,2,100.0%,20.8,1.25,+64,,81.0,65.0,26.5,324,260,106,83,3,75.0%,4,100.0%,27,60.0%,25,65.8%,2,50.0%,3,75.0%,32,72.7%,16,44.4%,,,,,,,,,-,15,1777963806
,hltv_team_12416,Reign Supreme,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cjhbnesconkqks63as80.png,,1.29,2,2/0,100.0%,1,100.0%,23.5,1.41,+54,,93.5,66.5,18.0,187,133,36,47,2,100.0%,2,100.0%,15,65.2%,17,70.8%,1,50.0%,1,50.0%,0,0.0%,0,0.0%,,,,,,,,,-,16,1777963806
,hltv_team_12519,f4ceit4contract,https://oss.5eplay.com/sport/csgo/team/null.png,,1.29,2,2/0,100.0%,1,100.0%,18.5,1.41,+43,,74.0,52.5,20.5,148,105,41,37,1,50.0%,2,100.0%,16,80.0%,10,58.8%,1,50.0%,2,100.0%,0,0.0%,0,0.0%,,,,,,,,,-,17,1777963806
,hltv_team_12120,Orgless Heroes,https://oss.5eplay.com/sport/csgo/team/null.png,,1.28,8,8/0,100.0%,4,100.0%,24.5,1.36,+199,,94.9,70.0,24.4,759,560,195,196,6,75.0%,8,100.0%,78,74.3%,50,54.9%,7,87.5%,4,50.0%,103,88.0%,24,31.2%,,,,,,,,,-,18,1777963806
,hltv_team_12980,Lewandownskie,https://oss.5eplay.com/sport/csgo/team/null.png,,1.28,2,2/0,100.0%,1,100.0%,20.0,1.32,+37,,77.0,58.5,25.0,154,117,50,40,2,100.0%,1,50.0%,10,62.5%,16,66.7%,1,50.0%,0,0.0%,18,78.3%,8,47.1%,,,,,,,,,-,19,1777963806
,hltv_team_12127,UFG,https://oss.5eplay.com/sport/csgo/team/null.png,,1.27,4,4/0,100.0%,1,100.0%,23.8,1.27,+80,,93.3,73.3,25.8,373,293,103,95,2,50.0%,3,75.0%,30,55.6%,28,68.3%,4,100.0%,2,50.0%,20,76.9%,11,39.3%,,,,,,,,,-,20,1777963806
,hltv_team_12562,Spectre,https://oss.5eplay.com/sport/csgo/team/null.png,,1.27,6,6/0,100.0%,3,100.0%,20.3,1.22,+84,,78.0,64.0,24.2,468,384,145,122,2,33.3%,5,83.3%,30,53.6%,48,72.7%,2,33.3%,5,83.3%,30,85.7%,9,34.6%,,,,,,,,,-,21,1777963826
,hltv_team_12437,Xiao Pang,https://oss.5eplay.com/sport/csgo/team/null.png,,1.26,5,3/2,60.0%,1,100.0%,26.8,1.29,+116,,102.2,79.0,29.4,511,395,147,134,2,40.0%,5,100.0%,42,59.2%,40,63.5%,3,60.0%,5,100.0%,48,69.6%,19,43.2%,,,,,,,,,-,22,1777963826
,hltv_team_12815,11 minutos tarde,https://oss.5eplay.com/sport/csgo/team/null.png,,1.26,5,4/1,80.0%,2,100.0%,19.8,1.34,+94,,74.8,56.0,28.8,374,280,144,99,2,40.0%,3,60.0%,38,64.4%,24,60.0%,2,40.0%,5,100.0%,37,77.1%,10,35.7%,,,,,,,,,-,23,1777963826
,hltv_team_13318,Virtuoso Squad,https://oss.5eplay.com/sport/csgo/team/null.png,,1.26,3,2/1,66.7%,1,100.0%,19.7,1.24,+44,,75.7,61.0,22.3,227,183,67,59,2,66.7%,2,66.7%,16,53.3%,21,72.4%,2,66.7%,3,100.0%,25,71.4%,12,50.0%,,,,,,,,,-,24,1777963826
,hltv_team_12220,Wheel Chair,https://oss.5eplay.com/sport/csgo/team/null.png,,1.25,2,2/0,100.0%,1,100.0%,25.5,1.32,+47,,98.0,74.5,26.0,196,149,52,51,2,100.0%,2,100.0%,19,73.1%,13,52.0%,2,100.0%,1,50.0%,7,77.8%,2,40.0%,,,,,,,,,-,25,1777963826
,hltv_team_13778,insane players,https://oss.5eplay.com/sport/csgo/team/null.png,,1.25,15,14/1,93.3%,7,100.0%,20.7,1.31,+286,,81.0,61.9,27.0,1215,929,405,310,10,66.7%,12,80.0%,100,64.5%,91,61.1%,6,40.0%,10,66.7%,143,79.9%,52,40.0%,,,,,,,,,-,26,1777963826
,hltv_team_13015,Regnum,https://oss.5eplay.com/cloudx/p/sport/csgo/team/csep8bsconkotam81b8g.png,,1.24,6,6/0,100.0%,3,100.0%,22.3,1.20,+86,,85.2,70.8,34.5,511,425,207,134,6,100.0%,6,100.0%,41,58.6%,40,62.5%,5,83.3%,4,66.7%,53,76.8%,27,42.2%,,,,,,,,,-,27,1777963826
,hltv_team_13410,Team Rostikfacekid,https://oss.5eplay.com/sport/csgo/team/null.png,,1.24,5,4/1,80.0%,2,100.0%,21.2,1.13,+45,,79.4,70.4,26.2,397,352,131,106,3,60.0%,4,80.0%,29,65.9%,33,53.2%,3,60.0%,3,60.0%,41,63.1%,19,44.2%,,,,,,,,,-,28,1777963826
,hltv_team_12236,ex-CLG Red,https://oss.5eplay.com/sport/csgo/team/null.png,,1.23,7,5/2,71.4%,3,66.7%,26.1,1.25,+137,,96.9,77.3,25.4,678,541,178,183,6,85.7%,6,85.7%,50,55.6%,59,63.4%,5,71.4%,4,57.1%,74,77.9%,23,27.7%,,,,,,,,,-,29,1777963826
,csgo_tm_7107,Uzbekistan,https://oss.5eplay.com/sport/csgo/team/hz/cec3qqv4nfq43340v480.png,,1.23,6,6/0,100.0%,3,100.0%,25.5,1.29,+130,,96.2,74.5,15.0,577,447,90,153,4,66.7%,5,83.3%,52,61.2%,44,64.7%,4,66.7%,4,66.7%,12,70.6%,7,46.7%,,,,,,,,,-,30,1777963826
,hltv_team_13814,INOX Division,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d7lcaqcconkpudhr4cug.png,,1.23,30,24/6,80.0%,13,92.3%,20.2,1.24,+431,,74.9,60.5,27.8,2247,1816,835,606,20,66.7%,23,76.7%,201,64.4%,171,58.2%,18,60.0%,18,60.0%,252,74.3%,101,38.1%,87,,,,,,,,-,31,1777963826
,hltv_team_12100,dobrywieczor,https://oss.5eplay.com/sport/csgo/team/null.png,,1.22,1,1/0,100.0%,,,26.0,1.33,+25,,100.0,75.0,23.0,100,75,23,26,1,100.0%,1,100.0%,8,53.3%,8,72.7%,1,100.0%,1,100.0%,9,69.2%,1,12.5%,,,,,,,,,,32,1777963826
,hltv_team_12538,Team mopoz,https://oss.5eplay.com/sport/csgo/team/null.png,,1.22,1,1/0,100.0%,,,23.0,1.16,+12,,87.0,75.0,26.0,87,75,26,23,1,100.0%,1,100.0%,11,91.7%,2,18.2%,1,100.0%,1,100.0%,0,0.0%,0,0.0%,,,,,,,,,,33,1777963826
,hltv_team_12464,Stockholm City,https://oss.5eplay.com/sport/csgo/team/null.png,,1.22,4,2/2,50.0%,2,50.0%,20.5,1.22,+54,,75.3,61.8,21.3,301,247,85,82,2,50.0%,2,50.0%,27,60.0%,17,45.9%,3,75.0%,2,50.0%,14,53.8%,4,16.7%,,,,,,,,,-,34,1777963826
