match_id,source,source_match_url,first_game_id,event_id,event_name,match_date,match_time,league_slug,stage,patch,team1_id,team1,team1_logo,team2_id,team2,team2_logo,score1,score2,winner,bo,status,fetched_at
lol_112966669924129225,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 13:00:00,worlds,Swiss,,top_esports,TOP ESPORTS,https://static.lolesports.com/teams/1592592064571_TopEsportsTES-01-FullonDark.png,t1,T1,https://static.lolesports.com/teams/1726801573959_539px-T1_2019_full_allmode.png,1,0,TOP ESPORTS,1,completed,2026-05-01 18:31:20
lol_112966669924129231,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 14:00:00,worlds,Swiss,,gen_g_esports,Gen.G Esports,https://static.lolesports.com/teams/1773829250929_GENGLOGO_GOLD.png,weibogaming,WeiboGaming,https://static.lolesports.com/teams/1641202879910_3.png,1,0,Gen.G Esports,1,completed,2026-05-01 18:31:20
lol_112966669924129229,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 15:00:00,worlds,Swiss,,fnatic,Fnatic,https://static.lolesports.com/teams/1631819669150_fnc-2021-worlds.png,dplus_kia,Dplus KIA,https://static.lolesports.com/teams/1673260049703_DPlusKIALOGO11.png,0,1,Dplus KIA,1,completed,2026-05-01 18:31:20
lol_112966669924129227,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 16:00:00,worlds,Swiss,,team_liquid_alienware,Team Liquid Alienware,https://static.lolesports.com/teams/1769357207762_TLAlienware_Minimal_Bug-White.png,suzhou_lng_esports,Suzhou LNG Esports,https://static.lolesports.com/teams/1717487697003_LNGlogo.png,0,1,Suzhou LNG Esports,1,completed,2026-05-01 18:31:20
lol_112966669924129217,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 17:00:00,worlds,Swiss,,hanwha_life_esports,Hanwha Life Esports,https://static.lolesports.com/teams/1631819564399_hle-2021-worlds.png,psg_talon,PSG Talon,https://static.lolesports.com/teams/1752559016251_PSG_TALON_COLOR.png,1,0,Hanwha Life Esports,1,completed,2026-05-01 18:31:20
lol_112966669924129219,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 18:00:00,worlds,Swiss,,gam_esports,GAM Esports,https://static.lolesports.com/teams/1643263093448_GAMyellow.png,flyquest,FlyQuest,https://static.lolesports.com/teams/flyquest-new-on-dark.png,0,1,FlyQuest,1,completed,2026-05-01 18:31:20
lol_112966669924129221,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-03,2024-10-03 19:00:00,worlds,Swiss,,g2_esports,G2 Esports,https://static.lolesports.com/teams/G2-FullonDark.png,pain_gaming,paiN Gaming,https://static.lolesports.com/teams/1674657011011_pain_logo_white.png,1,0,G2 Esports,1,completed,2026-05-01 18:31:20
lol_112966669924194775,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 12:00:00,worlds,Swiss,,bilibili_gaming,BILIBILI GAMING,https://static.lolesports.com/teams/1682322954525_Bilibili_Gaming_logo_20211.png,suzhou_lng_esports,Suzhou LNG Esports,https://static.lolesports.com/teams/1717487697003_LNGlogo.png,0,1,Suzhou LNG Esports,1,completed,2026-05-01 18:31:20
lol_112966669924194773,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 13:00:00,worlds,Swiss,,gen_g_esports,Gen.G Esports,https://static.lolesports.com/teams/1773829250929_GENGLOGO_GOLD.png,top_esports,TOP ESPORTS,https://static.lolesports.com/teams/1592592064571_TopEsportsTES-01-FullonDark.png,1,0,Gen.G Esports,1,completed,2026-05-01 18:31:20
lol_112966669924129233,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 14:00:00,worlds,Swiss,,g2_esports,G2 Esports,https://static.lolesports.com/teams/G2-FullonDark.png,hanwha_life_esports,Hanwha Life Esports,https://static.lolesports.com/teams/1631819564399_hle-2021-worlds.png,0,1,Hanwha Life Esports,1,completed,2026-05-01 18:31:20
lol_112966669924194781,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 15:00:00,worlds,Swiss,,team_liquid_alienware,Team Liquid Alienware,https://static.lolesports.com/teams/1769357207762_TLAlienware_Minimal_Bug-White.png,weibogaming,WeiboGaming,https://static.lolesports.com/teams/1641202879910_3.png,0,1,WeiboGaming,1,completed,2026-05-01 18:31:20
lol_112966669924194777,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 16:00:00,worlds,Swiss,,t1,T1,https://static.lolesports.com/teams/1726801573959_539px-T1_2019_full_allmode.png,pain_gaming,paiN Gaming,https://static.lolesports.com/teams/1674657011011_pain_logo_white.png,1,0,T1,1,completed,2026-05-01 18:31:20
lol_112966669924194771,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 17:00:00,worlds,Swiss,,dplus_kia,Dplus KIA,https://static.lolesports.com/teams/1673260049703_DPlusKIALOGO11.png,flyquest,FlyQuest,https://static.lolesports.com/teams/flyquest-new-on-dark.png,1,0,Dplus KIA,1,completed,2026-05-01 18:31:20
lol_112966669924194783,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 18:00:00,worlds,Swiss,,fnatic,Fnatic,https://static.lolesports.com/teams/1631819669150_fnc-2021-worlds.png,gam_esports,GAM Esports,https://static.lolesports.com/teams/1643263093448_GAMyellow.png,1,0,Fnatic,1,completed,2026-05-01 18:31:20
lol_112966669924194779,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-04,2024-10-04 19:00:00,worlds,Swiss,,psg_talon,PSG Talon,https://static.lolesports.com/teams/1752559016251_PSG_TALON_COLOR.png,movistar_koi,Movistar KOI,https://static.lolesports.com/teams/1734012609283_MKOI_FullColor_Blue.png,1,0,PSG Talon,1,completed,2026-05-01 18:31:20
lol_112966669924194789,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-05,2024-10-05 12:00:00,worlds,Swiss,,dplus_kia,Dplus KIA,https://static.lolesports.com/teams/1673260049703_DPlusKIALOGO11.png,suzhou_lng_esports,Suzhou LNG Esports,https://static.lolesports.com/teams/1717487697003_LNGlogo.png,0,2,Suzhou LNG Esports,3,completed,2026-05-01 18:31:20
lol_112966669924194785,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-05,2024-10-05 15:00:00,worlds,Swiss,,hanwha_life_esports,Hanwha Life Esports,https://static.lolesports.com/teams/1631819564399_hle-2021-worlds.png,gen_g_esports,Gen.G Esports,https://static.lolesports.com/teams/1773829250929_GENGLOGO_GOLD.png,1,2,Gen.G Esports,3,completed,2026-05-01 18:31:20
lol_112966669924194797,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-06,2024-10-06 12:00:00,worlds,Swiss,,top_esports,TOP ESPORTS,https://static.lolesports.com/teams/1592592064571_TopEsportsTES-01-FullonDark.png,fnatic,Fnatic,https://static.lolesports.com/teams/1631819669150_fnc-2021-worlds.png,1,0,TOP ESPORTS,1,completed,2026-05-01 18:31:20
lol_112966669924194793,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-06,2024-10-06 13:00:00,worlds,Swiss,,bilibili_gaming,BILIBILI GAMING,https://static.lolesports.com/teams/1682322954525_Bilibili_Gaming_logo_20211.png,t1,T1,https://static.lolesports.com/teams/1726801573959_539px-T1_2019_full_allmode.png,0,1,T1,1,completed,2026-05-01 18:31:20
lol_112966669924194795,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-06,2024-10-06 14:00:00,worlds,Swiss,,flyquest,FlyQuest,https://static.lolesports.com/teams/flyquest-new-on-dark.png,psg_talon,PSG Talon,https://static.lolesports.com/teams/1752559016251_PSG_TALON_COLOR.png,1,0,FlyQuest,1,completed,2026-05-01 18:31:20
lol_112966669924194799,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-06,2024-10-06 15:00:00,worlds,Swiss,,g2_esports,G2 Esports,https://static.lolesports.com/teams/G2-FullonDark.png,weibogaming,WeiboGaming,https://static.lolesports.com/teams/1641202879910_3.png,1,0,G2 Esports,1,completed,2026-05-01 18:31:20
lol_112966669924194805,lolesports,https://lolesports.com/schedule?leagues=worlds,,worlds_2024,Worlds 2024,2024-10-07,2024-10-07 12:00:00,worlds,Swiss,,movistar_koi,Movistar KOI,https://static.lolesports.com/teams/1734012609283_MKOI_FullColor_Blue.png,gam_esports,GAM Esports,https://static.lolesports.com/teams/1643263093448_GAMyellow.png,1,2,GAM Esports,3,completed,2026-05-01 18:31:20
