match_id,slug,match_url,match_date,match_time,time_text,event_name,stage,team1,team1_country,team2,team2_country,score1,score2,winner,status,note,source,source_list_url,fetched_at
657970,mir-vs-natus-vincere-junior-challengers-2026-north-east-stage-2-ur3,https://www.vlr.gg/657970/mir-vs-natus-vincere-junior-challengers-2026-north-east-stage-2-ur3,2026-05-04,2026-05-04 23:00:00,11:00 PM,Challengers 2026: NORTH//EAST Stage 2,Playoffs–Upper Round 3,MIR,RU,Natus Vincere Junior,UN,0,2,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
663062,ramboot-club-vs-kpi-gaming-challengers-2026-spain-rising-stage-3-phase-2-lr3,https://www.vlr.gg/663062/ramboot-club-vs-kpi-gaming-challengers-2026-spain-rising-stage-3-phase-2-lr3,2026-05-04,2026-05-04 23:00:00,11:00 PM,Challengers 2026: Spain Rising Stage 3,Phase 2–Lower Round 3,Ramboot Club,EU,KPI Gaming,ES,1,0,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
666215,gentle-mates-gc-vs-g2-gozen-game-changers-2026-emea-stage-2-w2,https://www.vlr.gg/666215/gentle-mates-gc-vs-g2-gozen-game-changers-2026-emea-stage-2-w2,2026-05-04,2026-05-04 23:00:00,11:00 PM,Game Changers 2026: EMEA Stage 2,Group Stage–Week 2,Gentle Mates GC,EU,G2 Gozen,EU,1,1,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
666216,alternate-attax-ruby-vs-zennit-orange-gc-game-changers-2026-emea-stage-2-w2,https://www.vlr.gg/666216/alternate-attax-ruby-vs-zennit-orange-gc-game-changers-2026-emea-stage-2-w2,2026-05-04,2026-05-04 23:00:00,11:00 PM,Game Changers 2026: EMEA Stage 2,Group Stage–Week 2,ALTERNATE aTTaX Ruby,DE,ZennIT Orange GC,EU,1,1,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
661076,be-ikta-esports-vs-misa-esports-challengers-2026-t-rkiye-birlik-stage-2-lbf,https://www.vlr.gg/661076/be-ikta-esports-vs-misa-esports-challengers-2026-t-rkiye-birlik-stage-2-lbf,2026-05-04,2026-05-04 23:30:00,11:30 PM,Challengers 2026: Türkiye Birlik Stage 2,Playoffs–Lower Final,Beşiktaş Esports,TR,Misa Esports,TR,1,1,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
649788,joblife-vs-mandatory-challengers-2026-france-revolution-stage-2-ubf,https://www.vlr.gg/649788/joblife-vs-mandatory-challengers-2026-france-revolution-stage-2-ubf,2026-05-05,2026-05-05 00:00:00,12:00 AM,Challengers 2026: France Revolution Stage 2,Playoffs–Upper Final,Joblife,EU,Mandatory,FR,0,1,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
664806,gamax-esports-vs-ghools-esports-challengers-2026-mena-resilience-pulse-stage-north-africa-ubsf,https://www.vlr.gg/664806/gamax-esports-vs-ghools-esports-challengers-2026-mena-resilience-pulse-stage-north-africa-ubsf,2026-05-05,2026-05-05 00:00:00,12:00 AM,Challengers 2026: MENA Resilience Pulse Stage - North Africa,Playoffs–Upper Semifinals,Gamax Esports,EG,Ghools Esports,TN,1,0,,live,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
663063,bar-a-esports-vs-falke-esports-challengers-2026-spain-rising-stage-3-phase-2-lr3,https://www.vlr.gg/663063/bar-a-esports-vs-falke-esports-challengers-2026-spain-rising-stage-3-phase-2-lr3,2026-05-05,2026-05-05 02:00:00,2:00 AM,Challengers 2026: Spain Rising Stage 3,Phase 2–Lower Round 3,Barça eSports,ES,Falke Esports,ES,,,,scheduled,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
666217,sk-nebula-vs-fokus-sakura-game-changers-2026-emea-stage-2-w2,https://www.vlr.gg/666217/sk-nebula-vs-fokus-sakura-game-changers-2026-emea-stage-2-w2,2026-05-05,2026-05-05 02:00:00,2:00 AM,Game Changers 2026: EMEA Stage 2,Group Stage–Week 2,SK Nebula,EU,FOKUS Sakura,DE,,,,scheduled,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
666218,giantx-gc-vs-twisted-minds-orchid-game-changers-2026-emea-stage-2-w2,https://www.vlr.gg/666218/giantx-gc-vs-twisted-minds-orchid-game-changers-2026-emea-stage-2-w2,2026-05-05,2026-05-05 02:00:00,2:00 AM,Game Changers 2026: EMEA Stage 2,Group Stage–Week 2,GIANTX GC,EU,Twisted Minds Orchid,SA,,,,scheduled,,vlr_experiment,https://www.vlr.gg/matches,2026-05-05 01:19:39
