player_id,player_slug,player_name,real_name,country,avatar,source,source_player_url,fetched_at
60037,samyyy,Samyyy,,DE,,vlr_experiment,https://www.vlr.gg/player/60037/samyyy,2026-05-05 02:16:22
2252,anq,Anq,Ilya Matyash,RU,https://owcdn.net/img/686ce260cfbca.png,vlr_experiment,https://www.vlr.gg/player/2252/anq,2026-05-05 02:16:22
21435,jelly,Jelly,Julia Iris,BR,https://owcdn.net/img/6930b6d537b3d.png,vlr_experiment,https://www.vlr.gg/player/21435/jelly,2026-05-05 02:16:22
63364,imvietnamesegirl,Imvietnamesegirl,,VN,,vlr_experiment,https://www.vlr.gg/player/63364/imvietnamesegirl,2026-05-05 02:16:22
37927,happywei,happywei,Deng Minwei (邓闵维),TW,https://owcdn.net/img/6782528e85d4c.png,vlr_experiment,https://www.vlr.gg/player/37927/happywei,2026-05-05 02:16:22
30286,karam1l,karam1l,Norbu Tsering,IN,https://owcdn.net/img/69ca8f7db4b71.png,vlr_experiment,https://www.vlr.gg/player/30286/karam1l,2026-05-05 02:16:22
25255,primmie,primmie,Papaphat Sriprapha,TH,https://owcdn.net/img/6944047b31bc9.png,vlr_experiment,https://www.vlr.gg/player/25255/primmie,2026-05-05 02:16:22
28716,lukxo,lukxo,Lucca Travaioli,BR,https://owcdn.net/img/69e023fe3a5b8.png,vlr_experiment,https://www.vlr.gg/player/28716/lukxo,2026-05-05 02:16:22
56063,cakeo,cakeo,,VN,,vlr_experiment,https://www.vlr.gg/player/56063/cakeo,2026-05-05 02:16:22
58496,kachoww,Kachoww,Samet Arıcı,TR,https://owcdn.net/img/69bea0ef6d14c.png,vlr_experiment,https://www.vlr.gg/player/58496/kachoww,2026-05-05 02:16:22
24895,jemkin,Jemkin,Maksim Batorov,RU,https://owcdn.net/img/6821f75962425.png,vlr_experiment,https://www.vlr.gg/player/24895/jemkin,2026-05-05 02:16:22
17332,jduh,jduh,Ceyda Kondu,TR,https://owcdn.net/img/65a420d325fa8.png,vlr_experiment,https://www.vlr.gg/player/17332/jduh,2026-05-05 02:16:22
56432,zayce,Zayce,,KR,,vlr_experiment,https://www.vlr.gg/player/56432/zayce,2026-05-05 02:16:22
44842,jackk,Jackk,Jack Foote,US,,vlr_experiment,https://www.vlr.gg/player/44842/jackk,2026-05-05 02:16:22
40524,star,star,Lena Méndez Herrera,DE,https://owcdn.net/img/695fd6f219444.png,vlr_experiment,https://www.vlr.gg/player/40524/star,2026-05-05 02:16:22
10338,lime,Lime,Jacob Foster,GB,https://owcdn.net/img/6798ea37377d0.png,vlr_experiment,https://www.vlr.gg/player/10338/lime,2026-05-05 02:16:22
47467,ady,Ady,,KR,,vlr_experiment,https://www.vlr.gg/player/47467/ady,2026-05-05 02:16:22
10698,nephh,nephh,Marcus Tan,SG,https://owcdn.net/img/677fdff5be5db.png,vlr_experiment,https://www.vlr.gg/player/10698/nephh,2026-05-05 02:16:22
41739,slowly,slowly,Kelun Sun (孙科伦),CN,https://owcdn.net/img/6848f4fd4ff85.png,vlr_experiment,https://www.vlr.gg/player/41739/slowly,2026-05-05 02:16:22
48574,nia,Nia,,VN,,vlr_experiment,https://www.vlr.gg/player/48574/nia,2026-05-05 02:16:22
27951,rxchyy,Rxchyy,,DE,https://owcdn.net/img/689d0688424ef.png,vlr_experiment,https://www.vlr.gg/player/27951/rxchyy,2026-05-05 02:16:22
41128,mathi,Mathi,,UY,https://owcdn.net/img/69f64b0a1afc0.png,vlr_experiment,https://www.vlr.gg/player/41128/mathi,2026-05-05 02:16:22
6672,meiy,Meiy,Ibuki Seki,JP,https://owcdn.net/img/674037871e878.png,vlr_experiment,https://www.vlr.gg/player/6672/meiy,2026-05-05 02:16:22
7107,never,neveR,Vsevolod Suslov,UN,,vlr_experiment,https://www.vlr.gg/player/7107/never,2026-05-05 02:16:22
52535,poeth,poeth,,FR,,vlr_experiment,https://www.vlr.gg/player/52535/poeth,2026-05-05 02:16:22
10053,fireballops,FireBallOps,Cameron Tomaselli,US,https://owcdn.net/img/630aea53bcd96.png,vlr_experiment,https://www.vlr.gg/player/10053/fireballops,2026-05-05 02:16:22
12143,bizerra,Bizerra,Vitoria Vieira,BR,https://owcdn.net/img/64069bcef1406.png,vlr_experiment,https://www.vlr.gg/player/12143/bizerra,2026-05-05 02:16:22
48042,junnn,junnn,,UN,,vlr_experiment,https://www.vlr.gg/player/48042/junnn,2026-05-05 02:16:22
41720,favian,Favian,Enes Yiğiter,TR,https://owcdn.net/img/69e226459b5e0.png,vlr_experiment,https://www.vlr.gg/player/41720/favian,2026-05-05 02:16:22
11704,styron,STYRON,Tidus Goh,SG,https://owcdn.net/img/690485bc72e5e.png,vlr_experiment,https://www.vlr.gg/player/11704/styron,2026-05-05 02:16:22
19530,aaaay,AAAAY,Zhang Yang (张杨),CN,https://owcdn.net/img/6780cc68aef3a.png,vlr_experiment,https://www.vlr.gg/player/19530/aaaay,2026-05-05 02:16:22
55681,kozzy,kozzy,Denis Stefan Aionitoaei,RO,,vlr_experiment,https://www.vlr.gg/player/55681/kozzy,2026-05-05 02:16:22
47482,flora,flora,,KR,,vlr_experiment,https://www.vlr.gg/player/47482/flora,2026-05-05 02:16:22
651,frz,frz,Leandro Gomes,BR,https://owcdn.net/img/697a76da98484.png,vlr_experiment,https://www.vlr.gg/player/651/frz,2026-05-05 02:16:22
52085,darky,darky,,PH,,vlr_experiment,https://www.vlr.gg/player/52085/darky,2026-05-05 02:16:22
64127,hippo,hippo,,VN,,vlr_experiment,https://www.vlr.gg/player/64127/hippo,2026-05-05 02:16:22
56679,kassielsy,Kassielsy,,TW,,vlr_experiment,https://www.vlr.gg/player/56679/kassielsy,2026-05-05 02:16:22
44960,hoangbao2,HoangBao2,,UN,,vlr_experiment,https://www.vlr.gg/player/44960/hoangbao2,2026-05-05 02:16:22
4807,bstrdd,bstrdd,Paula Naguil,CL,https://owcdn.net/img/6977fa15e7dbe.png,vlr_experiment,https://www.vlr.gg/player/4807/bstrdd,2026-05-05 02:16:22
45580,mason143,Mason143,Mason Carney,UN,,vlr_experiment,https://www.vlr.gg/player/45580/mason143,2026-05-05 02:16:22
48431,kippei,Kippei,,JP,,vlr_experiment,https://www.vlr.gg/player/48431/kippei,2026-05-05 02:16:22
1524,h1ber,H1ber,Joona Parviainen,FI,https://owcdn.net/img/63b7a4264bfc0.png,vlr_experiment,https://www.vlr.gg/player/1524/h1ber,2026-05-05 02:16:22
63122,saintclaws,SaintClaws,,VN,,vlr_experiment,https://www.vlr.gg/player/63122/saintclaws,2026-05-05 02:16:22
36747,bonobo,Bonobo,Jason Jia,AU,,vlr_experiment,https://www.vlr.gg/player/36747/bonobo,2026-05-05 02:16:22
50813,gsr,GSR,,RS,,vlr_experiment,https://www.vlr.gg/player/50813/gsr,2026-05-05 02:16:22
3626,lightningfast,Lightningfast,Abhirup Choudhury,IN,https://owcdn.net/img/65e1abe992df2.png,vlr_experiment,https://www.vlr.gg/player/3626/lightningfast,2026-05-05 02:16:22
38025,addi,Addi,,GB,https://owcdn.net/img/695fd6fc84b6f.png,vlr_experiment,https://www.vlr.gg/player/38025/addi,2026-05-05 02:16:22
52180,annie,Annie,Surassawadee Khongpechdee,TH,,vlr_experiment,https://www.vlr.gg/player/52180/annie,2026-05-05 02:16:22
30743,fair,Fair,,EG,,vlr_experiment,https://www.vlr.gg/player/30743/fair,2026-05-05 02:16:22
15897,apinya,Apinya,Apinya Laotaew,TH,https://owcdn.net/img/698dc4c753dfa.png,vlr_experiment,https://www.vlr.gg/player/15897/apinya,2026-05-05 02:16:22
21887,stallion,stallion,,CA,,vlr_experiment,https://www.vlr.gg/player/21887/stallion,2026-05-05 02:16:22
49565,quint,QuinT,Đặng Thanh Quin,VN,https://owcdn.net/img/67fd4158f1721.png,vlr_experiment,https://www.vlr.gg/player/49565/quint,2026-05-05 02:16:22
4462,mako,MaKo,Kim Myeong-gwan (김명관),KR,https://owcdn.net/img/676b9d064081b.png,vlr_experiment,https://www.vlr.gg/player/4462/mako,2026-05-05 02:16:22
35513,samed,samed,Samed Topbas,AT,https://owcdn.net/img/69a8be502971c.png,vlr_experiment,https://www.vlr.gg/player/35513/samed,2026-05-05 02:16:22
24203,neat,Neat,Jakob Phelps,US,,vlr_experiment,https://www.vlr.gg/player/24203/neat,2026-05-05 02:16:22
7660,fizzy,Fizzy,David Figueiredo,PT,https://owcdn.net/img/6798ea17775ec.png,vlr_experiment,https://www.vlr.gg/player/7660/fizzy,2026-05-05 02:16:22
60346,sora,sora,Nikita Vlasov,BY,https://owcdn.net/img/6963abd7c822c.png,vlr_experiment,https://www.vlr.gg/player/60346/sora,2026-05-05 02:16:22
49570,rinsat,Rinsat,Rinan Satpute,IN,https://owcdn.net/img/699e715d44ad5.png,vlr_experiment,https://www.vlr.gg/player/49570/rinsat,2026-05-05 02:16:22
15559,chichoo,CHICHOO,Wan Shunzhi (万顺治),CN,https://owcdn.net/img/677fe4289bb34.png,vlr_experiment,https://www.vlr.gg/player/15559/chichoo,2026-05-05 02:16:22
40004,globex,globeX,Michail Kostylew,RU,https://owcdn.net/img/6972163a75513.png,vlr_experiment,https://www.vlr.gg/player/40004/globex,2026-05-05 02:16:22
10307,marteen,marteen,Martin Pátek,CZ,https://owcdn.net/img/6977651551705.png,vlr_experiment,https://www.vlr.gg/player/10307/marteen,2026-05-05 02:16:22
4871,xffero,xffero,David Monangin,ID,https://owcdn.net/img/6821f77c54827.png,vlr_experiment,https://www.vlr.gg/player/4871/xffero,2026-05-05 02:16:22
43064,aace,Aace,Souta Itou,JP,https://owcdn.net/img/69722581d2be1.png,vlr_experiment,https://www.vlr.gg/player/43064/aace,2026-05-05 02:16:22
54224,rezet,ReZet,,KR,,vlr_experiment,https://www.vlr.gg/player/54224/rezet,2026-05-05 02:16:22
37098,tiezzi,Tiezzi,José Armando Tiezzi,IT,https://owcdn.net/img/697aced9b7d77.png,vlr_experiment,https://www.vlr.gg/player/37098/tiezzi,2026-05-05 02:16:22
45494,proxh,Proxh,Yusuf Emre Tunc,TR,https://owcdn.net/img/679c760fde2dd.png,vlr_experiment,https://www.vlr.gg/player/45494/proxh,2026-05-05 02:16:22
8422,spaz,Spaz,Adam Laamoumi,US,,vlr_experiment,https://www.vlr.gg/player/8422/spaz,2026-05-05 02:16:22
40175,mayameow,MayaMeow,,IE,,vlr_experiment,https://www.vlr.gg/player/40175/mayameow,2026-05-05 02:16:22
45358,yearn,yearn,Adhi Rajawat,IN,,vlr_experiment,https://www.vlr.gg/player/45358/yearn,2026-05-05 02:16:22
9063,infiltrator,infiltrator,Philip Nguyen,VN,,vlr_experiment,https://www.vlr.gg/player/9063/infiltrator,2026-05-05 02:16:22
52965,oroni,oroni,Ömer Açar,TR,,vlr_experiment,https://www.vlr.gg/player/52965/oroni,2026-05-05 02:16:22
18677,ruxic,Ruxic,Uğur Güç,TR,https://owcdn.net/img/6792501d68dfb.png,vlr_experiment,https://www.vlr.gg/player/18677/ruxic,2026-05-05 02:16:22
9152,deryeon,Deryeon,Derrick Yee,SG,https://owcdn.net/img/69d5fa9c535ea.png,vlr_experiment,https://www.vlr.gg/player/9152/deryeon,2026-05-05 02:16:22
7378,jinggg,Jinggg,Wang Jing Jie,SG,https://owcdn.net/img/69735f0889a6b.png,vlr_experiment,https://www.vlr.gg/player/7378/jinggg,2026-05-05 02:16:22
3741,vo0kashu,vo0kashu,Ilya Ushakov,RU,https://owcdn.net/img/67826114df9ea.png,vlr_experiment,https://www.vlr.gg/player/3741/vo0kashu,2026-05-05 02:16:22
47866,wozy,wozy,,US,,vlr_experiment,https://www.vlr.gg/player/47866/wozy,2026-05-05 02:16:22
8014,va-ek,Vašek,Václav Jan Stezka,CZ,https://owcdn.net/img/643622820597a.png,vlr_experiment,https://www.vlr.gg/player/8014/va-ek,2026-05-05 02:16:22
26102,bethany,bethany,Bethany Davie,AU,https://owcdn.net/img/68ef3ac4e1fee.png,vlr_experiment,https://www.vlr.gg/player/26102/bethany,2026-05-05 02:16:22
51046,uniqvalkyrie,UniqValkyrie,Amy Kropp,DE,https://owcdn.net/img/686da34e71deb.png,vlr_experiment,https://www.vlr.gg/player/51046/uniqvalkyrie,2026-05-05 02:16:22
25388,kon,Kon,Loraine Pagente,PH,https://owcdn.net/img/67a822689773c.png,vlr_experiment,https://www.vlr.gg/player/25388/kon,2026-05-05 02:16:22
50869,fudgestars,fudgestars,,GB,,vlr_experiment,https://www.vlr.gg/player/50869/fudgestars,2026-05-05 02:16:22
62483,voiceless,voiceless,,JP,https://owcdn.net/img/69c3f52be12df.png,vlr_experiment,https://www.vlr.gg/player/62483/voiceless,2026-05-05 02:16:22
36046,poseidon,Poseidon,Lucas Zerbinati,US,,vlr_experiment,https://www.vlr.gg/player/36046/poseidon,2026-05-05 02:16:22
39021,notexxd,Notexxd,Jaden Anderson,BM,,vlr_experiment,https://www.vlr.gg/player/39021/notexxd,2026-05-05 02:16:22
42638,amcar,Amcar,,DE,,vlr_experiment,https://www.vlr.gg/player/42638/amcar,2026-05-05 02:16:22
24439,yohpa,Yohpa,Baptiste Khoury,FR,https://owcdn.net/img/695fb3a2739bd.png,vlr_experiment,https://www.vlr.gg/player/24439/yohpa,2026-05-05 02:16:22
31855,celasun,Celasun,Emir Celasun,TR,https://owcdn.net/img/66b0bcfa1d13e.png,vlr_experiment,https://www.vlr.gg/player/31855/celasun,2026-05-05 02:16:22
50186,qu1ckz,qu1ckz,,RU,https://owcdn.net/img/695d4ae630cd6.png,vlr_experiment,https://www.vlr.gg/player/50186/qu1ckz,2026-05-05 02:16:22
41694,endoist,endoist,,TH,,vlr_experiment,https://www.vlr.gg/player/41694/endoist,2026-05-05 02:16:22
14048,zerona,zerona,,US,https://owcdn.net/img/697004f763e77.png,vlr_experiment,https://www.vlr.gg/player/14048/zerona,2026-05-05 02:16:22
3127,monsteerr,MONSTEERR,Ondřej Petrů,CZ,https://owcdn.net/img/687aa980d680d.png,vlr_experiment,https://www.vlr.gg/player/3127/monsteerr,2026-05-05 02:16:22
2653,jesse,Jesse,Adam Čtvrtníček,CZ,https://owcdn.net/img/67e8879ace2a8.png,vlr_experiment,https://www.vlr.gg/player/2653/jesse,2026-05-05 02:16:22
4742,smoggy,Smoggy,Zhang Zhao (张钊),CN,https://owcdn.net/img/677fe435edc57.png,vlr_experiment,https://www.vlr.gg/player/4742/smoggy,2026-05-05 02:16:22
13571,musz3kk,musz3kk,Cihan Göçer,TR,https://owcdn.net/img/679eb16c86d0e.png,vlr_experiment,https://www.vlr.gg/player/13571/musz3kk,2026-05-05 02:16:22
15500,trent,trent,Trent Cairns,US,https://owcdn.net/img/65e466071ca19.png,vlr_experiment,https://www.vlr.gg/player/15500/trent,2026-05-05 02:16:22
11495,archiw0w,archiw0w,Damir Tenchurin,UN,,vlr_experiment,https://www.vlr.gg/player/11495/archiw0w,2026-05-05 02:16:22
47982,sorex,sorex,,CL,,vlr_experiment,https://www.vlr.gg/player/47982/sorex,2026-05-05 02:16:22
24553,boni,Boni,,PH,,vlr_experiment,https://www.vlr.gg/player/24553/boni,2026-05-05 02:16:22
1437,yesican,YESicaN,Đinh Đình Đạt,VN,https://owcdn.net/img/629f1027a9137.png,vlr_experiment,https://www.vlr.gg/player/1437/yesican,2026-05-05 02:16:22
438,boaster,Boaster,Jake Howlett,GB,https://owcdn.net/img/687e2c495dcc6.png,vlr_experiment,https://www.vlr.gg/player/438/boaster,2026-05-05 02:16:22
50349,xexxar,xexxar,,KZ,,vlr_experiment,https://www.vlr.gg/player/50349/xexxar,2026-05-05 02:16:22
12593,felix,Felix,Felix Gerling,DE,https://owcdn.net/img/6895d1972ffd6.png,vlr_experiment,https://www.vlr.gg/player/12593/felix,2026-05-05 02:16:22
1885,purp0,purp0,Semyon Borchev,RU,https://owcdn.net/img/6973563baf5bc.png,vlr_experiment,https://www.vlr.gg/player/1885/purp0,2026-05-05 02:16:22
54222,haby,haby,,KR,,vlr_experiment,https://www.vlr.gg/player/54222/haby,2026-05-05 02:16:22
51100,flicker,Flicker,Kim Tae-hee (김태희),KR,,vlr_experiment,https://www.vlr.gg/player/51100/flicker,2026-05-05 02:16:22
45962,ken,KEN,,KR,,vlr_experiment,https://www.vlr.gg/player/45962/ken,2026-05-05 02:16:22
33994,creamydreamy,Creamydreamy,,SE,https://owcdn.net/img/679eacd1310b6.png,vlr_experiment,https://www.vlr.gg/player/33994/creamydreamy,2026-05-05 02:16:22
30556,exa,exa,Kim Lee-hwan (김이환),KR,https://owcdn.net/img/67a4c0b5a9704.png,vlr_experiment,https://www.vlr.gg/player/30556/exa,2026-05-05 02:16:22
49608,enzo,enzo,,US,,vlr_experiment,https://www.vlr.gg/player/49608/enzo,2026-05-05 02:16:22
9810,alfajer,Alfajer,Emir Ali Beder,TR,https://owcdn.net/img/687e2c40ac175.png,vlr_experiment,https://www.vlr.gg/player/9810/alfajer,2026-05-05 02:16:22
49857,zanks,Zanks,,US,,vlr_experiment,https://www.vlr.gg/player/49857/zanks,2026-05-05 02:16:22
14208,kishi,Kishi,Ngô Trường Huy,VN,https://owcdn.net/img/69dc2c52e99f9.png,vlr_experiment,https://www.vlr.gg/player/14208/kishi,2026-05-05 02:16:22
27789,deyten,deyten,Elmas Dzudzevic,DE,https://owcdn.net/img/69eb5f590db0b.png,vlr_experiment,https://www.vlr.gg/player/27789/deyten,2026-05-05 02:16:22
33840,luky,luky,,CZ,,vlr_experiment,https://www.vlr.gg/player/33840/luky,2026-05-05 02:16:22
4774,knight,Knight,Liu Yuxiang (刘宇翔),CN,https://owcdn.net/img/677fdffe244c5.png,vlr_experiment,https://www.vlr.gg/player/4774/knight,2026-05-05 02:16:22
37489,lysoar,Lysoar,Liang Youhao (梁优好),CN,https://owcdn.net/img/677d1df2d375a.png,vlr_experiment,https://www.vlr.gg/player/37489/lysoar,2026-05-05 02:16:22
8369,yetujey,yetujey,Eray Budak,TR,https://owcdn.net/img/697ab948ca75e.png,vlr_experiment,https://www.vlr.gg/player/8369/yetujey,2026-05-05 02:16:22
19677,lucas,lucas,Yunkun Lu (路昀昆),CN,,vlr_experiment,https://www.vlr.gg/player/19677/lucas,2026-05-05 02:16:22
4828,nismo,NiSMO,Marc-Andre Tayar,LB,https://owcdn.net/img/688c62bcd5f73.png,vlr_experiment,https://www.vlr.gg/player/4828/nismo,2026-05-05 02:16:22
33551,slaughter,Slaughter,İrfancan Çakıl,TR,,vlr_experiment,https://www.vlr.gg/player/33551/slaughter,2026-05-05 02:16:22
6437,dark3st,Dark3st,,US,,vlr_experiment,https://www.vlr.gg/player/6437/dark3st,2026-05-05 02:16:22
32050,c0n,c0n,Connor Augustine,US,,vlr_experiment,https://www.vlr.gg/player/32050/c0n,2026-05-05 02:16:22
13219,papi,Papi,Federico Evangelista,PH,https://owcdn.net/img/69a49c3ee884e.png,vlr_experiment,https://www.vlr.gg/player/13219/papi,2026-05-05 02:16:22
39695,sunflower,sunfloweR,,UA,,vlr_experiment,https://www.vlr.gg/player/39695/sunflower,2026-05-05 02:16:22
7458,moose,moose,Kaleb Jayne,CA,https://owcdn.net/img/66193fcfde2a8.png,vlr_experiment,https://www.vlr.gg/player/7458/moose,2026-05-05 02:16:22
48657,velvette,Velvette,,FR,,vlr_experiment,https://www.vlr.gg/player/48657/velvette,2026-05-05 02:16:22
40889,decoy,decoy,,MN,,vlr_experiment,https://www.vlr.gg/player/40889/decoy,2026-05-05 02:16:22
31574,srn,srN,Nicolas Niederauer,BR,https://owcdn.net/img/65e0acecea3a6.png,vlr_experiment,https://www.vlr.gg/player/31574/srn,2026-05-05 02:16:22
26077,angela,Angela,Angela Petrovic,TH,https://owcdn.net/img/6477230200f0e.png,vlr_experiment,https://www.vlr.gg/player/26077/angela,2026-05-05 02:16:22
32717,maestr0,maestr0,,BR,https://owcdn.net/img/697c5f18b3cad.png,vlr_experiment,https://www.vlr.gg/player/32717/maestr0,2026-05-05 02:16:22
9554,kaajak,kaajak,Kajetan Haremski,PL,https://owcdn.net/img/687e2c5192fe5.png,vlr_experiment,https://www.vlr.gg/player/9554/kaajak,2026-05-05 02:16:22
